"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-06-18,35,"Halle Open","1st Round","Grass","Outdoor","Giron M.","Rublev A.",4,1.25,0,100,"Rublev A.",FALSE,"Rublev A.",FALSE,FALSE,35
2024-06-18,35,"Halle Open","1st Round","Grass","Outdoor","Eubanks C.","Martinez P.",1.4,3,99.92,0.08,"Eubanks C.",TRUE,"Eubanks C.",TRUE,FALSE,35
2024-06-18,35,"Halle Open","1st Round","Grass","Outdoor","Sinner J.","Griekspoor T.",1.11,6.5,100,0,"Sinner J.",TRUE,"Sinner J.",TRUE,FALSE,35
2024-06-19,35,"Halle Open","1st Round","Grass","Outdoor","Berrettini M.","Michelsen A.",1.25,4,92.47,7.53,"Berrettini M.",TRUE,"Berrettini M.",TRUE,FALSE,35
2024-06-19,35,"Halle Open","1st Round","Grass","Outdoor","Struff J.L.","Darderi L.",1.17,5,98.59,1.41,"Struff J.L.",TRUE,"Struff J.L.",TRUE,FALSE,35
2024-06-17,36,"Queen's Club Championships","1st Round","Grass","Outdoor","Dimitrov G.","Mannarino A.",1.17,5,100,0,"Dimitrov G.",TRUE,"Dimitrov G.",TRUE,FALSE,36
2024-06-17,36,"Queen's Club Championships","1st Round","Grass","Outdoor","Hijikata R.","Tiafoe F.",3.4,1.33,0.08,99.92,"Tiafoe F.",FALSE,"Tiafoe F.",FALSE,FALSE,36
2024-06-17,36,"Queen's Club Championships","1st Round","Grass","Outdoor","Thompson J.","Rune H.",2.75,1.44,0.01,99.99,"Rune H.",FALSE,"Rune H.",FALSE,FALSE,36
2024-06-18,36,"Queen's Club Championships","1st Round","Grass","Outdoor","Fritz T.","Daniel T.",1.14,5.5,100,0,"Fritz T.",TRUE,"Fritz T.",TRUE,FALSE,36
2024-06-18,36,"Queen's Club Championships","1st Round","Grass","Outdoor","Musetti L.","De Minaur A.",5,1.17,0.15,99.85,"De Minaur A.",FALSE,"De Minaur A.",FALSE,FALSE,36
2024-06-18,36,"Queen's Club Championships","1st Round","Grass","Outdoor","Arnaldi M.","Humbert U.",3.2,1.36,36.68,63.32,"Humbert U.",FALSE,"Humbert U.",FALSE,FALSE,36
2024-06-18,36,"Queen's Club Championships","1st Round","Grass","Outdoor","Korda S.","Khachanov K.",1.67,2.2,25.68,74.32,"Khachanov K.",FALSE,"Korda S.",TRUE,TRUE,36
2024-06-18,36,"Queen's Club Championships","1st Round","Grass","Outdoor","Tabilo A.","Davidovich Fokina A.",2.5,1.53,0.39,99.61,"Davidovich Fokina A.",FALSE,"Davidovich Fokina A.",FALSE,FALSE,36
2024-06-18,36,"Queen's Club Championships","1st Round","Grass","Outdoor","Paul T.","Baez S.",1.14,5.5,99.82,0.18,"Paul T.",TRUE,"Paul T.",TRUE,FALSE,36
2024-06-18,36,"Queen's Club Championships","1st Round","Grass","Outdoor","Alcaraz C.","Cerundolo F.",1.1,7,100,0,"Alcaraz C.",TRUE,"Alcaraz C.",TRUE,FALSE,36
2024-06-18,36,"Queen's Club Championships","1st Round","Grass","Outdoor","Nakashima B.","Evans D.",1.53,2.5,44.27,55.73,"Evans D.",FALSE,"Nakashima B.",TRUE,TRUE,36
2024-06-18,36,"Queen's Club Championships","1st Round","Grass","Outdoor","Mpetshi G.","Shelton B.",2.38,1.57,4.27,95.73,"Shelton B.",FALSE,"Shelton B.",FALSE,FALSE,36
2024-06-18,36,"Queen's Club Championships","1st Round","Grass","Outdoor","Draper J.","Navone M.",1.06,10,82.7,17.3,"Draper J.",TRUE,"Draper J.",TRUE,FALSE,36
2024-07-29,47,"Citi Open","1st Round","Hard","Outdoor","Ruusuvuori E.","Coric B.",1.67,2.2,90.04,9.96,"Ruusuvuori E.",TRUE,"Ruusuvuori E.",TRUE,FALSE,47
2024-07-29,47,"Citi Open","1st Round","Hard","Outdoor","Goffin D.","Ugo Carabelli C.",1.29,3.75,78.73,21.27,"Goffin D.",TRUE,"Goffin D.",TRUE,FALSE,47
2024-07-30,47,"Citi Open","1st Round","Hard","Outdoor","Kokkinakis T.","Purcell M.",1.73,2.1,99.6,0.4,"Kokkinakis T.",TRUE,"Kokkinakis T.",TRUE,FALSE,47
2024-07-30,47,"Citi Open","1st Round","Hard","Outdoor","Kovacevic A.","Nishioka Y.",2.3,1.62,1.08,98.92,"Nishioka Y.",FALSE,"Nishioka Y.",FALSE,FALSE,47
2024-09-26,54,"China Open","1st Round","Hard","Outdoor","Mannarino A.","Sonego L.",2.5,1.53,89.45,10.55,"Mannarino A.",TRUE,"Sonego L.",FALSE,FALSE,54
2024-09-26,54,"China Open","1st Round","Hard","Outdoor","Sinner J.","Jarry N.",1.05,11,100,0,"Sinner J.",TRUE,"Sinner J.",TRUE,FALSE,54
2024-09-26,54,"China Open","1st Round","Hard","Outdoor","Griekspoor T.","Kecmanovic M.",1.8,2,100,0,"Griekspoor T.",TRUE,"Griekspoor T.",TRUE,FALSE,54
2024-09-26,54,"China Open","1st Round","Hard","Outdoor","Lehecka J.","Martinez P.",1.3,3.5,100,0,"Lehecka J.",TRUE,"Lehecka J.",TRUE,FALSE,54
2024-09-26,54,"China Open","1st Round","Hard","Outdoor","Cobolli F.","Bublik A.",1.91,1.91,3.9,96.1,"Bublik A.",FALSE,NA,FALSE,FALSE,54
