ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,GamesMatch,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,Fatigue_W,Fatigue_L,mu_winner,mu_loser,sigma_winner,sigma_loser,p_ttt_win,p_adj_win,y,pred_base,ttt_correct,pred_fat,ttt_fat_correct,p_book,pred_book,bookie_correct,p_base_fav,y_base_fav,p_fat_fav,y_fat_fav,p_book_fav,y_book_fav,theta_used,ATP_k
20,Miami,Miami Open,2024-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Koepfer D.,Baez S.,50,19,1002,1990,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.65,2.35,1.65,2.38,1.62,2.29,17,1.5319189329855278,0.48925467327267,2.07670968934527,0.2628420458431824,0.5467500000000001,0,1.5319189329855278,2.07670968934527,0.48925467327267,0.2628420458431824,0.16331638897031325,0.20211097291379712,1,Baez S.,FALSE,Baez S.,FALSE,0.586734693877551,Koepfer D.,TRUE,0.8366836110296867,0,0.7978890270862029,0,0.586734693877551,1,-0.4766420354041561,20
20,Miami,Miami Open,2024-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Murray A.,Etcheverry T.,62,30,870,1325,7,6,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.59,2.49,1.59,2.57,1.55,2.42,22,2.007745863860404,0.3207707346092108,2.1022228139782184,0.2656318494740876,0.528525,0,2.007745863860404,2.1022228139782184,0.3207707346092108,0.2656318494740876,0.4102712591998393,0.47229667877273096,1,Etcheverry T.,FALSE,Etcheverry T.,FALSE,0.6025316455696202,Murray A.,TRUE,0.5897287408001607,0,0.527703321227269,0,0.6025316455696202,1,-0.4766420354041561,20
20,Miami,Miami Open,2024-03-26,Masters 1000,Outdoor,Hard,4th Round,3,Machac T.,Arnaldi M.,60,38,891,1096,6,3,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.75,2.21,1.92,2.21,1.76,2.05,18,2.156873641807006,0.4904403732533073,2.48127563134008,0.3273169674169315,1.0773,0.755325,2.156873641807006,2.48127563134008,0.4904403732533073,0.3273169674169315,0.291099587921702,0.3237518428966969,1,Arnaldi M.,FALSE,Arnaldi M.,FALSE,0.5263157894736842,Machac T.,TRUE,0.708900412078298,0,0.6762481571033031,0,0.5263157894736842,1,-0.4766420354041561,20
20,Miami,Miami Open,2024-03-29,Masters 1000,Outdoor,Hard,Semifinals,3,Sinner J.,Medvedev D.,3,4,8310,7765,6,1,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.56,2.6,1.56,2.65,1.5,2.55,15,3.840659569087245,0.2502831373078767,4.005653163125822,0.25094189987555504,0.7107750000000002,1.1304225,3.840659569087245,4.005653163125822,0.2502831373078767,0.25094189987555504,0.3207754897512304,0.2788381893594493,1,Medvedev D.,FALSE,Medvedev D.,FALSE,0.6368038740920097,Sinner J.,TRUE,0.6792245102487696,0,0.7211618106405506,0,0.6368038740920097,1,-0.4766420354041561,20
21,Estoril,Estoril Open,2024-04-03,ATP250,Outdoor,Clay,1st Round,3,Martinez P.,Altmaier D.,77,54,741,955,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.72,2.23,1.75,2.23,1.7,2.14,18,1.0599866120262325,0.5070419813322018,1.614026220181238,0.2993028270568676,0,0,1.0599866120262325,1.614026220181238,0.5070419813322018,0.2993028270568676,0.1733575878294326,0.17335758782943264,1,Altmaier D.,FALSE,Altmaier D.,FALSE,0.5483028720626633,Martinez P.,TRUE,0.8266424121705673,0,0.8266424121705673,0,0.5483028720626633,1,-0.5528610255398494,21
21,Estoril,Estoril Open,2024-04-04,ATP250,Outdoor,Clay,2nd Round,3,Martinez P.,Bautista Agut R.,77,93,741,654,7,5,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.71,2.23,1.75,2.25,1.7,2.14,22,1.0599866120262325,0.5070419813322018,1.9500837680557228,0.3006261115264184,0.40499999999999997,0.34627500000000005,1.0599866120262325,1.9500837680557228,0.5070419813322018,0.3006261115264184,0.0655202525635115,0.06753636898815424,1,Bautista Agut R.,FALSE,Bautista Agut R.,FALSE,0.5483028720626633,Martinez P.,TRUE,0.9344797474364885,0,0.9324636310118457,0,0.5483028720626633,1,-0.5528610255398494,21
22,Houston,U.S. Men's Clay Court Championships,2024-04-03,ATP250,Outdoor,Clay,2nd Round,3,Nakashima B.,Hijikata R.,92,80,655,723,6,1,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.33,3.4,1.33,3.64,1.35,3.64,1.32,3.35,17,1.5698837036308677,0.3313404303196402,1.9038500737187107,0.3653048434603613,0.34425000000000006,0.5850000000000001,1.5698837036308677,1.9038500737187107,0.3313404303196402,0.3653048434603613,0.24915261689556953,0.22444925002597682,1,Hijikata R.,FALSE,Hijikata R.,FALSE,0.7188160676532769,Nakashima B.,TRUE,0.7508473831044304,0,0.7755507499740232,0,0.7188160676532769,1,-0.5681703565750886,22
22,Houston,U.S. Men's Clay Court Championships,2024-04-04,ATP250,Outdoor,Clay,2nd Round,3,Giron M.,Wolf J.J.,51,96,990,625,6,4,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.36,3.2,1.35,3.49,1.4,3.49,1.37,3.03,19,1.7924518187703538,0.26450246570265457,1.845669968404932,0.2716821359927693,0.45,0.5467500000000001,1.7924518187703538,1.845669968404932,0.26450246570265457,0.2716821359927693,0.4441905709732367,0.43066407015167585,1,Wolf J.J.,FALSE,Wolf J.J.,FALSE,0.7017543859649122,Giron M.,TRUE,0.5558094290267632,0,0.5693359298483242,0,0.7017543859649122,1,-0.5681703565750886,22
22,Houston,U.S. Men's Clay Court Championships,2024-04-07,ATP250,Outdoor,Clay,The Final,3,Shelton B.,Tiafoe F.,16,21,2260,1770,7,5,4,6,6,3,NA,NA,NA,NA,2,1,Completed,1.8,2,1.85,2.07,1.91,2.1,1.8,2,31,2.3580979985851185,0.2735519026493633,2.737404639311616,0.2774318752144282,1.7590500000000002,1.65825,2.3580979985851185,2.737404639311616,0.2735519026493633,0.2774318752144282,0.16514134605449035,0.1731895063916993,1,Tiafoe F.,FALSE,Tiafoe F.,FALSE,0.5263157894736842,Shelton B.,TRUE,0.8348586539455096,0,0.8268104936083007,0,0.5263157894736842,1,-0.5681703565750886,22
23,Marrakech,Grand Prix Hassan II,2024-04-04,ATP250,Outdoor,Clay,2nd Round,3,Carballes Baena R.,Evans D.,64,42,856,1086,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.49,2.79,1.57,2.82,1.5,2.56,23,1.4622541293229092,0.28893602060311,1.7796644791974103,0.29582999712455066,0.20250000000000004,0,1.4622541293229092,1.7796644791974103,0.28893602060311,0.29582999712455066,0.22136830791414921,0.2413873559611106,1,Evans D.,FALSE,Evans D.,FALSE,0.6203473945409429,Carballes Baena R.,TRUE,0.7786316920858508,0,0.7586126440388894,0,0.6203473945409429,1,-0.556157555052321,23
23,Marrakech,Grand Prix Hassan II,2024-04-05,ATP250,Outdoor,Clay,Quarterfinals,3,Navone M.,Vukic A.,60,67,883,818,6,2,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.48,2.88,1.5,2.88,1.45,2.71,18,0.7915649638025988,1.1141687369703688,1.1543833921900366,0.34005827824565654,0.9313425000000001,1.16595,0.7915649638025988,1.1543833921900366,1.1141687369703688,0.34005827824565654,0.3777267607132896,0.3475815260658903,1,Vukic A.,FALSE,Vukic A.,FALSE,0.6563245823389022,Navone M.,TRUE,0.6222732392867104,0,0.6524184739341097,0,0.6563245823389022,1,-0.556157555052321,23
23,Marrakech,Grand Prix Hassan II,2024-04-06,ATP250,Outdoor,Clay,Semifinals,3,Carballes Baena R.,Kotov P.,64,68,856,807,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.83,2.09,1.83,2.09,1.79,2,18,1.4622541293229092,0.28893602060311,1.9783659811934935,0.33192541360843697,1.304775,0.7020000000000001,1.4622541293229092,1.9783659811934935,0.28893602060311,0.33192541360843697,0.12043714882003888,0.1606959288069022,1,Kotov P.,FALSE,Kotov P.,FALSE,0.5263157894736842,Carballes Baena R.,TRUE,0.8795628511799611,0,0.8393040711930978,0,0.5263157894736842,1,-0.556157555052321,23
24,Monte Carlo,Monte Carlo Masters,2024-04-07,Masters 1000,Outdoor,Clay,1st Round,3,Coric B.,Bublik A.,33,18,1204,1992,6,1,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.59,2.5,1.59,3.1,1.54,2.46,14,1.977929301497909,0.3168323919154003,2.1985986657066925,0.28251756087084706,0,0,1.977929301497909,2.1985986657066925,0.3168323919154003,0.28251756087084706,0.3015891182144409,0.3015891182144409,1,Bublik A.,FALSE,Bublik A.,FALSE,0.6203473945409429,Coric B.,TRUE,0.6984108817855591,0,0.6984108817855591,0,0.6203473945409429,1,-0.5943412488043284,24
24,Monte Carlo,Monte Carlo Masters,2024-04-08,Masters 1000,Outdoor,Clay,1st Round,3,Tabilo A.,O Connell C.,45,62,1051,886,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.58,2.52,1.6,2.75,1.55,2.44,19,1.80353455724868,0.5267603126677851,2.042375496830662,0.2948037842849859,0,0,1.80353455724868,2.042375496830662,0.5267603126677851,0.2948037842849859,0.34617592984391987,0.34617592984391987,1,O Connell C.,FALSE,O Connell C.,FALSE,0.6025316455696202,Tabilo A.,TRUE,0.6538240701560801,0,0.6538240701560801,0,0.6025316455696202,1,-0.5943412488043284,24
24,Monte Carlo,Monte Carlo Masters,2024-04-09,Masters 1000,Outdoor,Clay,2nd Round,3,Musetti L.,Fils A.,24,36,1590,1145,6,3,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.45,2.97,1.5,2.97,1.45,2.74,21,2.391006953730334,0.2673222867472621,2.51880199132421,0.3010267990186488,0.4050000000000001,0.315,2.391006953730334,2.51880199132421,0.2673222867472621,0.3010267990186488,0.3754576938320022,0.388081778862629,1,Fils A.,FALSE,Fils A.,FALSE,0.6368038740920097,Musetti L.,TRUE,0.6245423061679978,0,0.611918221137371,0,0.6368038740920097,1,-0.5943412488043284,24
24,Monte Carlo,Monte Carlo Masters,2024-04-11,Masters 1000,Outdoor,Clay,3rd Round,3,Ruud C.,Hurkacz H.,10,8,3465,3665,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.48,2.88,1.48,2.88,1.44,2.75,18,2.637722038983089,0.26773816252008925,3.149564005390597,0.26084918484494857,0.40499999999999997,1.5221475,2.637722038983089,3.149564005390597,0.26773816252008925,0.26084918484494857,0.08545343022496157,0.045894731615573094,1,Hurkacz H.,FALSE,Hurkacz H.,FALSE,0.6563245823389022,Ruud C.,TRUE,0.9145465697750385,0,0.9541052683844269,0,0.6563245823389022,1,-0.5943412488043284,24
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Nakashima B.,Evans D.,87,49,695,996,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.51,2.75,1.53,2.8,1.48,2.65,21,1.5884757449879705,0.33142578420510166,1.745302984390806,0.2938910062219254,0,0,1.5884757449879705,1.745302984390806,0.33142578420510166,0.2938910062219254,0.36165350870186463,0.3616535087018646,1,Evans D.,FALSE,Evans D.,FALSE,0.6368038740920097,Nakashima B.,TRUE,0.6383464912981354,0,0.6383464912981354,0,0.6368038740920097,1,-0.5879445836414613,25
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Bautista Agut R.,Safiullin R.,84,38,703,1139,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.76,2.17,1.76,2.3,1.67,2.21,22,2.024444252697962,0.2947072339879565,2.2048184632086185,0.2844439256619066,0,0,2.024444252697962,2.2048184632086185,0.2947072339879565,0.2844439256619066,0.3298303148888575,0.3298303148888575,1,Safiullin R.,FALSE,Safiullin R.,FALSE,0.5684754521963824,Bautista Agut R.,TRUE,0.6701696851111425,0,0.6701696851111425,0,0.5684754521963824,1,-0.5879445836414613,25
25,Barcelona,Barcelona Open,2024-04-16,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Nishioka Y.,73,71,770,788,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.25,4,1.3,3.85,1.3,4.05,1.27,3.74,16,1.6270289793235275,0.30838569483660244,2.060385285777442,0.2931298677806278,0,0,1.6270289793235275,2.060385285777442,0.30838569483660244,0.2931298677806278,0.15421319202481817,0.15421319202481817,1,Nishioka Y.,FALSE,Nishioka Y.,FALSE,0.7619047619047619,Munar J.,TRUE,0.8457868079751818,0,0.8457868079751818,0,0.7619047619047619,1,-0.5879445836414613,25
25,Barcelona,Barcelona Open,2024-04-21,ATP500,Outdoor,Clay,The Final,3,Ruud C.,Tsitsipas S.,6,7,4025,3995,7,5,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.79,2.14,1.83,2.15,1.75,2.07,21,2.6392204787226254,0.2676226165707504,3.150466480457097,0.25573625008471873,1.5237225,2.06658,2.6392204787226254,3.150466480457097,0.2676226165707504,0.25573625008471873,0.08362008449082628,0.0621920839303124,1,Tsitsipas S.,FALSE,Tsitsipas S.,FALSE,0.5483028720626633,Ruud C.,TRUE,0.9163799155091737,0,0.9378079160696876,0,0.5483028720626633,1,-0.5879445836414613,25
26,Bucharest,Tiriac Open,2024-04-15,ATP250,Outdoor,Clay,1st Round,3,Rinderknech A.,Gaston H.,79,96,729,642,6,7,6,4,7,5,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.65,2.37,1.68,2.5,1.62,2.27,35,1.017441327043123,0.3431031691152511,1.2223758218630305,0.45552247024335574,0,0,1.017441327043123,1.2223758218630305,0.3431031691152511,0.45552247024335574,0.35966402028079614,0.35966402028079614,1,Gaston H.,FALSE,Gaston H.,FALSE,0.5684754521963824,Rinderknech A.,TRUE,0.6403359797192039,0,0.6403359797192039,0,0.5684754521963824,1,-0.6500508536732363,26
26,Bucharest,Tiriac Open,2024-04-16,ATP250,Outdoor,Clay,1st Round,3,Borges N.,Wawrinka S.,55,86,911,697,3,6,7,5,6,2,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.58,2.53,1.62,2.53,1.57,2.37,29,1.198525997545418,0.36946461401376146,2.1026330812963483,0.2856813246954931,0,0,1.198525997545418,2.1026330812963483,0.36946461401376146,0.2856813246954931,0.026442356252909166,0.02644235625290917,1,Wawrinka S.,FALSE,Wawrinka S.,FALSE,0.586734693877551,Borges N.,TRUE,0.9735576437470909,0,0.9735576437470909,0,0.586734693877551,1,-0.6500508536732363,26
26,Bucharest,Tiriac Open,2024-04-18,ATP250,Outdoor,Clay,2nd Round,3,Moutet C.,Borges N.,92,55,652,911,6,2,6,7,6,2,NA,NA,NA,NA,2,1,Completed,1.8,2,1.92,1.99,1.92,2.02,1.82,1.97,29,0.8080269553286037,0.41667714031068376,1.198525997545418,0.36946461401376146,0.36450000000000005,0.58725,0.8080269553286037,1.198525997545418,0.41667714031068376,0.36946461401376146,0.2415838565133639,0.2160535501642375,1,Borges N.,FALSE,Borges N.,FALSE,0.5263157894736842,Moutet C.,TRUE,0.7584161434866361,0,0.7839464498357624,0,0.5263157894736842,1,-0.6500508536732363,26
26,Bucharest,Tiriac Open,2024-04-19,ATP250,Outdoor,Clay,2nd Round,3,Martinez P.,Kecmanovic M.,57,60,897,895,7,6,3,6,6,3,NA,NA,NA,NA,2,1,Completed,1.8,2,1.89,2.02,1.89,2.1,1.8,1.99,31,1.2435397789360974,0.4810520653978873,1.6302190946103223,0.2656294263068334,0.45562500000000006,0.5103000000000001,1.2435397789360974,1.6302190946103223,0.4810520653978873,0.2656294263068334,0.24081918025006802,0.23438127085636337,1,Kecmanovic M.,FALSE,Kecmanovic M.,FALSE,0.5263157894736842,Martinez P.,TRUE,0.759180819749932,0,0.7656187291436366,0,0.5263157894736842,1,-0.6500508536732363,26
26,Bucharest,Tiriac Open,2024-04-19,ATP250,Outdoor,Clay,2nd Round,3,Navone M.,Seyboth Wild T.,52,67,976,831,6,3,2,6,7,5,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.79,2.14,1.8,2.14,1.74,2.06,29,0.9785578605385914,1.0852026711319869,1.5544306005296802,0.48442777427657696,0.2788425,0.5740875,0.9785578605385914,1.5544306005296802,1.0852026711319869,0.48442777427657696,0.31399025576159256,0.27419255376632856,1,Seyboth Wild T.,FALSE,Seyboth Wild T.,FALSE,0.5483028720626633,Navone M.,TRUE,0.6860097442384074,0,0.7258074462336714,0,0.5483028720626633,1,-0.6500508536732363,26
27,Munich,BMW Open,2024-04-19,ATP250,Outdoor,Clay,Quarterfinals,3,Fritz T.,Draper J.,15,46,2450,1066,4,6,6,3,7,6,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.72,2.26,1.74,2.26,1.67,2.17,32,2.809219275912928,0.24785073793718607,2.796058110889583,0.3367581837211167,0.36,0.9616725,2.809219275912928,2.796058110889583,0.24785073793718607,0.3367581837211167,0.5125550135186863,0.41535591161873464,1,Fritz T.,TRUE,Draper J.,FALSE,0.5684754521963824,Fritz T.,TRUE,0.5125550135186863,1,0.5846440883812654,0,0.5684754521963824,1,-0.6516802878410712,27
28,Madrid,Mutua Madrid Open,2024-04-24,Masters 1000,Outdoor,Clay,1st Round,3,Seyboth Wild T.,Safiullin R.,63,42,849,1139,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.85,2.05,1.85,2.1,1.8,2,20,1.569543749917726,0.48173434630597745,2.1485524414335533,0.28105853375276807,0,0,1.569543749917726,2.1485524414335533,0.48173434630597745,0.28105853375276807,0.14959923496794425,0.14959923496794425,1,Safiullin R.,FALSE,Safiullin R.,FALSE,0.5483028720626633,Seyboth Wild T.,TRUE,0.8504007650320557,0,0.8504007650320557,0,0.5483028720626633,1,-0.623815025162212,28
28,Madrid,Mutua Madrid Open,2024-04-25,Masters 1000,Outdoor,Clay,1st Round,3,Machac T.,Ruusuvuori E.,50,71,1013,795,6,4,1,6,6,2,NA,NA,NA,NA,2,1,Completed,1.5,2.63,1.53,2.65,1.54,2.75,1.49,2.6,25,2.281963909402462,0.4763862778141113,2.291740693876569,0.28289027996999827,0,0,2.281963909402462,2.291740693876569,0.4763862778141113,0.28289027996999827,0.4929606098079979,0.49296060980799794,1,Ruusuvuori E.,FALSE,Ruusuvuori E.,FALSE,0.6368038740920097,Machac T.,TRUE,0.5070393901920021,0,0.5070393901920021,0,0.6368038740920097,1,-0.623815025162212,28
28,Madrid,Mutua Madrid Open,2024-04-25,Masters 1000,Outdoor,Clay,1st Round,3,Kecmanovic M.,Zhang Zh.,66,49,830,1038,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.74,2.2,1.78,2.22,1.68,2.17,17,1.6668527385394811,0.26267276583937993,2.2048045924518136,0.29169139380271963,0,0,1.6668527385394811,2.2048045924518136,0.26267276583937993,0.29169139380271963,0.08527034290869263,0.08527034290869263,1,Zhang Zh.,FALSE,Zhang Zh.,FALSE,0.5684754521963824,Kecmanovic M.,TRUE,0.9147296570913074,0,0.9147296570913074,0,0.5684754521963824,1,-0.623815025162212,28
28,Madrid,Mutua Madrid Open,2024-04-27,Masters 1000,Outdoor,Clay,2nd Round,3,Auger-Aliassime F.,Mannarino A.,35,20,1240,1875,6,0,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.11,6.5,1.15,6.42,1.18,6.5,1.13,5.85,16,2.400370783514846,0.2932577753308073,2.5912777998515697,0.25335884880960907,0.5467500000000001,0,2.400370783514846,2.5912777998515697,0.2932577753308073,0.25335884880960907,0.31114530925455774,0.3884815496311671,1,Mannarino A.,FALSE,Mannarino A.,FALSE,0.8541392904073586,Auger-Aliassime F.,TRUE,0.6888546907454423,0,0.6115184503688329,0,0.8541392904073586,1,-0.623815025162212,28
28,Madrid,Mutua Madrid Open,2024-04-27,Masters 1000,Outdoor,Clay,2nd Round,3,Shelton B.,Machac T.,15,50,2480,1013,6,0,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.73,2.24,1.73,2.24,1.68,2.17,14,2.3508975575512885,0.273261830442233,2.281963909402462,0.4763862778141113,0,0.50625,2.3508975575512885,2.281963909402462,0.273261830442233,0.4763862778141113,0.5499430477976892,0.4711905036001243,1,Shelton B.,TRUE,Machac T.,FALSE,0.5483028720626633,Shelton B.,TRUE,0.5499430477976892,1,0.5288094963998757,0,0.5483028720626633,1,-0.623815025162212,28
28,Madrid,Mutua Madrid Open,2024-04-28,Masters 1000,Outdoor,Clay,3rd Round,3,Struff J.L.,Humbert U.,24,14,1628,2535,7,5,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.64,2.42,1.68,2.5,1.63,2.26,22,2.4810705490655836,0.3005027729355031,2.5116714995761074,0.26564540647506846,0.38475000000000004,0.36450000000000005,2.4810705490655836,2.5116714995761074,0.3005027729355031,0.26564540647506846,0.46959205367906853,0.472739604100438,1,Humbert U.,FALSE,Humbert U.,FALSE,0.5684754521963824,Struff J.L.,TRUE,0.5304079463209315,0,0.527260395899562,0,0.5684754521963824,1,-0.623815025162212,28
28,Madrid,Mutua Madrid Open,2024-04-28,Masters 1000,Outdoor,Clay,3rd Round,3,Cerundolo F.,Paul T.,22,16,1680,2350,6,7,6,4,6,2,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.75,2.21,1.75,2.25,1.69,2.16,31,2.4931776415540825,0.2615452790335775,2.697863366856568,0.2533141711338488,0.42525,0.6075,2.4931776415540825,2.697863366856568,0.2615452790335775,0.2533141711338488,0.28700419724994314,0.26431334375859683,1,Paul T.,FALSE,Paul T.,FALSE,0.5684754521963824,Cerundolo F.,TRUE,0.7129958027500569,0,0.7356866562414032,0,0.5684754521963824,1,-0.623815025162212,28
28,Madrid,Mutua Madrid Open,2024-04-30,Masters 1000,Outdoor,Clay,4th Round,3,Fritz T.,Hurkacz H.,13,9,2560,3675,7,6,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.95,1.95,1.95,2.02,1.84,1.95,23,2.8058162108111153,0.24785509222542537,3.1750716828232193,0.2618188765556759,0.7215075000000001,0.7773975,2.8058162108111153,3.1750716828232193,0.24785509222542537,0.2618188765556759,0.15286941881607108,0.14840882311850936,1,Hurkacz H.,FALSE,Hurkacz H.,FALSE,0.5263157894736842,Fritz T.,TRUE,0.8471305811839289,0,0.8515911768814907,0,0.5263157894736842,1,-0.623815025162212,28
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Munar J.,Hijikata R.,68,79,805,724,6,4,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.08,8,1.11,7.89,1.12,8,1.1,7.01,22,1.701068760693333,0.2995766709560821,1.9599235014995584,0.3590360651150337,0,0,1.701068760693333,1.9599235014995584,0.2995766709560821,0.3590360651150337,0.2899340594658707,0.2899340594658707,1,Hijikata R.,FALSE,Hijikata R.,FALSE,0.8810572687224669,Munar J.,TRUE,0.7100659405341293,0,0.7100659405341293,0,0.8810572687224669,1,-0.6398578666598034,29
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Moutet C.,Safiullin R.,83,39,715,1138,3,6,7,6,6,2,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.81,2.1,1.81,2.1,1.76,2.06,30,0.911354863863244,0.3931380141238731,2.098300291433882,0.27808147657672977,0,0,0.911354863863244,2.098300291433882,0.3931380141238731,0.27808147657672977,0.006853288134814049,0.006853288134814051,1,Safiullin R.,FALSE,Safiullin R.,FALSE,0.5483028720626633,Moutet C.,TRUE,0.993146711865186,0,0.993146711865186,0,0.5483028720626633,1,-0.6398578666598034,29
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Carballes Baena R.,O Connell C.,62,66,826,807,6,7,5,0,NA,NA,NA,NA,NA,NA,0,1,Retired,1.44,2.75,1.43,3.01,1.46,3.01,1.42,2.85,18,1.5803022530182511,0.2819722433076285,1.9082950610833609,0.28578302690313573,0,0,1.5803022530182511,1.9082950610833609,0.2819722433076285,0.28578302690313573,0.20697157521535636,0.20697157521535636,1,O Connell C.,FALSE,O Connell C.,FALSE,0.6563245823389022,Carballes Baena R.,TRUE,0.7930284247846436,0,0.7930284247846436,0,0.6563245823389022,1,-0.6398578666598034,29
29,Rome,Internazionali BNL d'Italia,2024-05-10,Masters 1000,Outdoor,Clay,2nd Round,3,Borges N.,Bublik A.,53,17,931,2055,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.71,2.28,1.8,2.28,1.72,2.11,20,1.2331785516836948,0.35525771159796593,2.164779708207522,0.2809734222157322,0.7290000000000001,0,1.2331785516836948,2.164779708207522,0.35525771159796593,0.2809734222157322,0.019853224199694597,0.0312835506904435,1,Bublik A.,FALSE,Bublik A.,FALSE,0.5483028720626633,Borges N.,TRUE,0.9801467758003054,0,0.9687164493095565,0,0.5483028720626633,1,-0.6398578666598034,29
29,Rome,Internazionali BNL d'Italia,2024-05-10,Masters 1000,Outdoor,Clay,2nd Round,3,Zhang Zh.,Mannarino A.,56,21,868,1875,6,1,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.14,5.5,1.19,5.42,1.21,5.55,1.17,5.02,16,2.142348306211811,0.28804489595915617,2.5908276252095894,0.2534189656846218,0.4050000000000001,0,2.142348306211811,2.5908276252095894,0.28804489595915617,0.2534189656846218,0.12120873946998684,0.15162777942746158,1,Mannarino A.,FALSE,Mannarino A.,FALSE,0.8283132530120482,Zhang Zh.,TRUE,0.8787912605300132,0,0.8483722205725384,0,0.8283132530120482,1,-0.6398578666598034,29
29,Rome,Internazionali BNL d'Italia,2024-05-10,Masters 1000,Outdoor,Clay,2nd Round,3,Tabilo A.,Hanfmann Y.,32,59,1320,848,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.54,2.66,1.64,2.66,1.51,2.57,22,1.8304594825785565,0.4903382767867735,2.157781490928441,0.2688744274661851,0,0.34425000000000006,1.8304594825785565,2.157781490928441,0.4903382767867735,0.2688744274661851,0.27916606505463415,0.23705874883866163,1,Hanfmann Y.,FALSE,Hanfmann Y.,FALSE,0.6203473945409429,Tabilo A.,TRUE,0.7208339349453659,0,0.7629412511613384,0,0.6203473945409429,1,-0.6398578666598034,29
29,Rome,Internazionali BNL d'Italia,2024-05-11,Masters 1000,Outdoor,Clay,2nd Round,3,Baez S.,Lajovic D.,19,64,1960,811,7,6,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.69,2.3,1.69,2.42,1.63,2.27,26,2.055865476743469,0.26228594783015297,2.2438474772618986,0.2748431947221794,0,0.62775,2.055865476743469,2.2438474772618986,0.26228594783015297,0.2748431947221794,0.31036895992357943,0.23146352498988226,1,Lajovic D.,FALSE,Lajovic D.,FALSE,0.6025316455696202,Baez S.,TRUE,0.6896310400764205,0,0.7685364750101178,0,0.6025316455696202,1,-0.6398578666598034,29
