ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,z_val,pred,ttt_correct,bookie_pred,bookie_correct
26,Bucharest,Tiriac Open,2024-04-16,ATP250,Outdoor,Clay,1st Round,3,Borges N.,Wawrinka S.,55,86,911,697,3,6,7,5,6,2,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.58,2.53,1.62,2.53,1.57,2.37,1.198525997545418,0.36946461401376146,2.1026330812963483,0.2856813246954931,1.198525997545418,2.1026330812963483,0.36946461401376146,0.2856813246954931,-1.9358611218766055,Wawrinka S.,FALSE,Borges N.,TRUE
31,Lyon,Lyon Open,2024-05-19,ATP250,Outdoor,Clay,1st Round,3,Vukic A.,Mcdonald M.,93,74,647,735,6,2,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.65,2.31,1.68,2.31,1.64,2.25,1.1624057985147818,0.3184912408815987,2.0085213815636247,0.2622989848927975,1.1624057985147818,2.0085213815636247,0.3184912408815987,0.2622989848927975,-2.050700177450773,Mcdonald M.,FALSE,Vukic A.,TRUE
31,Lyon,Lyon Open,2024-05-20,ATP250,Outdoor,Clay,1st Round,3,Rinderknech A.,Evans D.,73,60,739,831,6,3,4,6,7,6,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.68,2.3,1.73,2.3,1.66,2.19,0.987734990916566,0.32713322911022485,1.6225019897068682,0.28887829288404115,0.987734990916566,1.6225019897068682,0.32713322911022485,0.28887829288404115,-1.4544696958952235,Evans D.,FALSE,Rinderknech A.,TRUE
33,Stuttgart,Stuttgart Open,2024-06-10,ATP250,Outdoor,Grass,1st Round,3,Koepfer D.,Zhang Zh.,65,44,801,1066,4,6,7,6,7,6,NA,NA,NA,NA,2,1,Completed,1.8,2,1.79,2.08,1.81,2.12,1.76,2.02,1.5165693822070474,0.41280331200508186,2.16436656452721,0.28485618383898936,1.5165693822070474,2.16436656452721,0.41280331200508186,0.28485618383898936,-1.2915975780209723,Zhang Zh.,FALSE,Koepfer D.,TRUE
33,Stuttgart,Stuttgart Open,2024-06-11,ATP250,Outdoor,Grass,1st Round,3,Nakashima B.,Eubanks C.,70,45,750,1017,7,6,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.62,2.38,1.69,2.42,1.57,2.34,1.4977316062441297,0.3143594228844541,1.7803394272510529,0.2842006037176501,1.4977316062441297,1.7803394272510529,0.3143594228844541,0.2842006037176501,-0.6668695518600778,Eubanks C.,FALSE,Nakashima B.,TRUE
34,'s-Hertogenbosch,Rosmalen Grass Court Championships,2024-06-11,ATP250,Outdoor,Grass,1st Round,3,Vukic A.,Purcell M.,87,100,674,612,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.65,2.32,1.7,2.34,1.63,2.23,1.216595675998558,0.30958607647683206,1.5434984687417743,0.3237162816093666,1.216595675998558,1.5434984687417743,0.30958607647683206,0.3237162816093666,-0.7298177968500875,Purcell M.,FALSE,Vukic A.,TRUE
37,Eastbourne,Eastbourne International,2024-06-24,ATP250,Outdoor,Grass,1st Round,3,Purcell M.,Djere L.,94,52,627,936,6,1,4,6,6,3,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.59,2.5,1.59,2.75,1.54,2.45,1.447592383997803,0.31646379023707266,2.1220123633015695,0.2656278437725671,1.447592383997803,2.1220123633015695,0.31646379023707266,0.2656278437725671,-1.6323156686199187,Djere L.,FALSE,Purcell M.,TRUE
37,Eastbourne,Eastbourne International,2024-06-24,ATP250,Outdoor,Grass,1st Round,3,Giron M.,Cerundolo F.,46,27,1005,1565,7,6,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.76,2.17,1.76,2.25,1.7,2.13,1.860636356840757,0.2477135824206801,2.515185502912762,0.26220635764248773,1.860636356840757,2.515185502912762,0.2477135824206801,0.26220635764248773,-1.8145958969407159,Cerundolo F.,FALSE,Giron M.,TRUE
40,Bastad,Nordea Open,2024-07-16,ATP250,Outdoor,Clay,1st Round,3,Carballes Baena R.,Safiullin R.,54,67,906,785,5,7,7,6,6,3,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.61,2.46,1.65,2.46,1.6,2.3,1.7594076310649136,0.27181660797736995,1.988086801691773,0.2664068550778759,1.7594076310649136,1.988086801691773,0.27181660797736995,0.2664068550778759,-0.6008375184989406,Safiullin R.,FALSE,Carballes Baena R.,TRUE
44,Atlanta,Atlanta Open,2024-07-24,ATP250,Outdoor,Hard,1st Round,3,Purcell M.,O Connell C.,66,93,795,653,4,6,7,5,6,2,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.66,2.35,1.67,2.35,1.62,2.25,1.391557562364527,0.3084808433599965,1.824120559495077,0.2830242894621207,1.391557562364527,1.824120559495077,0.3084808433599965,0.2830242894621207,-1.0332466909598335,O Connell C.,FALSE,Purcell M.,TRUE
45,Kitzbuhel,Generali Open,2024-07-23,ATP250,Outdoor,Clay,1st Round,3,Diaz Acosta F.,Coria F.,77,73,737,747,2,6,6,3,6,0,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.68,2.3,1.74,2.3,1.69,2.14,0.9628996016879968,0.4752202868785678,1.182173214348941,0.3621461524806673,0.9628996016879968,1.182173214348941,0.4752202868785678,0.3621461524806673,-0.36699648167997195,Coria F.,FALSE,Diaz Acosta F.,TRUE
46,Umag,Croatia Open,2024-07-21,ATP250,Outdoor,Clay,1st Round,3,Marozsan F.,Shevchenko A.,49,58,995,885,6,4,4,6,7,6,NA,NA,NA,NA,2,1,Completed,1.57,2.38,1.67,2.34,1.67,2.46,1.59,2.31,2.123002072077627,0.32896150840743354,2.135119726922041,0.28254358578779776,2.123002072077627,2.135119726922041,0.32896150840743354,0.28254358578779776,-0.027943827444376953,Shevchenko A.,FALSE,Marozsan F.,TRUE
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-18,ATP250,Outdoor,Hard,1st Round,3,Cazaux A.,Van De Zandschulp B.,97,73,596,739,6,1,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.94,1.94,1.99,2,1.86,1.92,1.267518129920343,0.5650454227844214,2.1344533157662804,0.26058283519556846,1.267518129920343,2.1344533157662804,0.5650454227844214,0.26058283519556846,-1.3932540550227936,Van De Zandschulp B.,FALSE,Cazaux A.,TRUE
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-19,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Munar J.,90,82,635,682,7,5,4,6,6,3,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.81,2.09,1.85,2.13,1.76,2.05,1.442577014133145,0.3494260130086113,1.667678985694136,0.2787232009814591,1.442577014133145,1.667678985694136,0.3494260130086113,0.2787232009814591,-0.503613872291314,Munar J.,FALSE,Goffin D.,TRUE
52,Chengdu,Chengdu Open,2024-09-19,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Kotov P.,75,61,720,864,6,4,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.7,2.24,1.7,2.28,1.66,2.19,1.869598274235629,0.2753235198524889,1.9924879413755885,0.2989057153725331,1.869598274235629,1.9924879413755885,0.2753235198524889,0.2989057153725331,-0.3023981612557296,Kotov P.,FALSE,O Connell C.,TRUE
52,Chengdu,Chengdu Open,2024-09-19,ATP250,Outdoor,Hard,1st Round,3,Safiullin R.,Fognini F.,56,79,915,694,6,3,4,6,6,4,NA,NA,NA,NA,2,1,Completed,1.2,4.5,1.23,4.47,1.25,4.5,1.21,4.25,1.9115553961343537,0.264197921796357,2.1669759741785133,0.3600536677534974,1.9115553961343537,2.1669759741785133,0.264197921796357,0.3600536677534974,-0.5719402191382961,Fognini F.,FALSE,Safiullin R.,TRUE
53,Hangzhou,Hangzhou Open,2024-09-19,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Dzumhur D.,81,86,681,655,2,6,7,6,6,2,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.85,2.05,1.85,2.14,1.74,2.08,1.8436084388266896,0.3121407191329035,1.9581782466740627,1.0091437867949886,1.8436084388266896,1.9581782466740627,0.3121407191329035,1.0091437867949886,-0.10846170325545747,Dzumhur D.,FALSE,Hijikata R.,TRUE
59,Stockholm,Nordic Open,2024-10-15,ATP250,Indoor,Hard,1st Round,3,Kecmanovic M.,Norrie C.,55,52,965,989,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.88,2.02,1.95,2.02,1.84,1.94,1.7881864189888714,0.2411930516423267,2.3616155463473474,0.27050659776400504,1.7881864189888714,2.3616155463473474,0.2411930516423267,0.27050659776400504,-1.5822247358120995,Norrie C.,FALSE,Kecmanovic M.,TRUE
63,Belgrade,Belgrade Open,2024-11-04,ATP250,Indoor,Hard,1st Round,3,Altmaier D.,Darderi L.,93,43,625,1248,7,6,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.79,2.12,1.86,2.18,1.77,2.02,1.394015121020158,0.27737041543537616,1.9219860591290168,0.37892665930437336,1.394015121020158,1.9219860591290168,0.27737041543537616,0.37892665930437336,-1.1243104871396654,Darderi L.,FALSE,Altmaier D.,TRUE
63,Belgrade,Belgrade Open,2024-11-04,ATP250,Indoor,Hard,1st Round,3,Shapovalov D.,Fucsovics M.,78,91,718,629,6,7,7,5,6,1,NA,NA,NA,NA,2,1,Completed,1.57,2.38,1.66,2.35,1.66,2.45,1.58,2.34,1.977949530616744,0.2921827093598238,2.0871934830245458,0.2820978681118087,1.977949530616744,2.0871934830245458,0.2921827093598238,0.2820978681118087,-0.26898082400139034,Fucsovics M.,FALSE,Shapovalov D.,TRUE
63,Belgrade,Belgrade Open,2024-11-05,ATP250,Indoor,Hard,1st Round,3,Safiullin R.,Fognini F.,60,74,898,745,6,3,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.22,4.33,1.27,4.09,1.27,4.34,1.23,3.99,1.994865855719723,0.2580833717036526,1.9957946353223723,0.3374720564005801,1.994865855719723,1.9957946353223723,0.2580833717036526,0.3374720564005801,-0.0021861541633077654,Fognini F.,FALSE,Safiullin R.,TRUE
64,Metz,Open de Moselle,2024-11-03,ATP250,Indoor,Hard,1st Round,3,Moutet C.,Nagal S.,66,83,804,697,7,5,4,0,NA,NA,NA,NA,NA,NA,2,0,Completed,1.29,3.75,1.34,3.53,1.34,3.75,1.31,3.43,1.0046511821051771,0.34167588865019205,1.225975080699882,0.5060581228344003,1.0046511821051771,1.225975080699882,0.34167588865019205,0.5060581228344003,-0.3624671653669732,Nagal S.,FALSE,Moutet C.,TRUE
