player,mu_generic,sigma_generic,ATP,mov_w_scale,mov_w_cap
Engel J.,4.4348980314095146,2.1151086832437556,62,0.35,3
Edmund K.,-3.6015417419179996,1.9546132570201726,62,0.35,3
Dhamne M.,-2.4547890825309313,2.541109081408165,62,0.35,3
Ramanathan R.,-2.863624052212999,2.323422572186344,62,0.35,3
Andujar P.,-3.4735287108720727,2.0478494423263487,62,0.35,3
Mukund S.,-4.124838472640945,2.0679910601266727,62,0.35,3
Pannu K.,-3.3666206296884544,2.0828908963062287,62,0.35,3
Escobedo E.,-4.807510221972837,2.142692679586559,62,0.35,3
Pospisil V.,-2.345313605341739,2.5183840620416444,62,0.35,3
Krutykh O.,-3.422785618522849,2.0693433335554445,62,0.35,3
Tseng C. H.,-2.7381998132481615,2.369955199246531,62,0.35,3
Lokoli L.,0.9713058255468565,0.9537234472430395,62,0.35,3
Rybakov A.,-2.5415873360750174,2.508439256861994,62,0.35,3
Verdasco F.,-3.9941013133791348,1.8957454274343888,62,0.35,3
Krall L.,-2.7469060053007075,2.540056432971958,62,0.35,3
Chidekh C.,0,4,62,0.35,3
Bellier A.,-3.2539388123301505,2.279421425666916,62,0.35,3
Blancaneaux G.,-3.0517139296656377,2.27600771202866,62,0.35,3
Alves M.,-1.191474441318257,3.107728817246935,62,0.35,3
Bellucci T.,-2.520759447014578,2.500242502116358,62,0.35,3
Chappell N.,-2.9090342149325448,2.4336569740184766,62,0.35,3
Pacheco Mendez R.,-2.9409051593318027,2.158093202041071,62,0.35,3
Jaziri M.,-2.4447585333916244,2.4890501139867034,62,0.35,3
Lazarov A.,-2.870357360431399,2.275422318455666,62,0.35,3
Taberner C.,-3.024625321348324,2.251415764473232,62,0.35,3
Giannessi A.,-2.7029985168309714,2.4140265396709113,62,0.35,3
Sousa P.,-3.33637023003146,2.2560505560698374,62,0.35,3
Benchetrit E.,-2.8939125724175625,2.288324606776091,62,0.35,3
Lalami Laaroussi Y.,-2.589032454263271,2.477212892048936,62,0.35,3
Moundir A.,-3.186420178556246,2.3895926181008833,62,0.35,3
Vatutin A.,-3.348117710485611,2.1853081524388247,62,0.35,3
Vacherot V.,-3.6494933410774313,2.1112643848184205,62,0.35,3
Balazs A.,-3.122129583636589,2.263215974754876,62,0.35,3
Giustino L.,-2.6130970918344265,2.4554441252684063,62,0.35,3
Rincon D.,-3.2949441994825213,2.092731261971927,62,0.35,3
Rehberg M.,-2.5862173357795393,2.4163904710759123,62,0.35,3
Topo M.,-3.504920936414718,2.1480150789811643,62,0.35,3
Sachko V.,-3.5771238486420125,2.0584415682861827,62,0.35,3
Serdarusic N.,-2.6090307253344545,2.5039184777985852,62,0.35,3
Travaglia S.,-2.4032648668161127,2.4269305226945908,62,0.35,3
Roca Batalla O.,-2.694860371085086,2.4275500281648914,62,0.35,3
Lopez San Martin A.,-2.7846094998581585,2.400374810357738,62,0.35,3
Berankis R.,-2.4529522273947517,2.5387170463847144,62,0.35,3
Kyrgios N.,-2.763589685876467,2.457030983677947,62,0.35,3
Wessels L.,-2.0683291054366713,2.7605599914837033,62,0.35,3
Loffhagen G.,1.6731553891331437,1.158412725892318,62,0.35,3
Novak D.,-2.7228175501969902,2.3352921261627855,62,0.35,3
Fery A.,-2.651676225333272,2.4975950367137894,62,0.35,3
Madaras D.,-3.0273560748945747,2.425764142320687,62,0.35,3
Chung Y.,-3.9701835131572176,2.1438112168610735,62,0.35,3
Martin A.,-2.99584006447001,2.2161605516649217,62,0.35,3
Lama G.,-2.520121058326324,2.5452314742120183,62,0.35,3
Mansouri S.,-1.8329337839570266,2.807437261280522,62,0.35,3
Klahn B.,-2.4491108250279705,2.54294848453731,62,0.35,3
Fratangelo B.,-2.072092223748492,2.6957187564500766,62,0.35,3
Galarneau A.,-2.1095890584543735,2.697865487290258,62,0.35,3
Marchenko I.,-2.6045244379149333,2.5061776337782455,62,0.35,3
King D.,-2.314754162070163,2.625763427385484,62,0.35,3
Kwiatkowski T.S.,-3.1193139773340137,2.3740832958672122,62,0.35,3
Kuznetsov An.,-2.8582865186357385,2.3914451977578968,62,0.35,3
Kirchheimer S.,-3.1384139738053407,2.210806847352672,62,0.35,3
Mu T.,-3.2262663645813623,2.269583065820502,62,0.35,3
Cui J.,-3.0027955060796296,2.334431969912559,62,0.35,3
Lock B.,-2.640182237741775,2.459813562401233,62,0.35,3
