"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","margin","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-02-13,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Struff J.L.","Davidovich Fokina A.",1,2.3,1.62,48.72,51.28,"Davidovich Fokina A.",FALSE,"Davidovich Fokina A.",FALSE,FALSE,12
2024-02-13,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Hurkacz H.","Lehecka J.",1,1.36,3.2,59.28,40.72,"Hurkacz H.",TRUE,"Hurkacz H.",TRUE,FALSE,12
2024-02-14,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Ruusuvuori E.","Humbert U.",1,2.2,1.67,45.03,54.97,"Humbert U.",FALSE,"Humbert U.",FALSE,FALSE,12
2024-02-14,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Dimitrov G.","Sonego L.",2,1.22,4.33,67.55,32.45,"Dimitrov G.",TRUE,"Dimitrov G.",TRUE,FALSE,12
2024-02-14,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Rune H.","Safiullin R.",1,1.8,2,54.17,45.83,"Rune H.",TRUE,"Rune H.",TRUE,FALSE,12
2024-02-14,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Sinner J.","Van De Zandschulp B.",2,1.1,7,75.38,24.62,"Sinner J.",TRUE,"Sinner J.",TRUE,FALSE,12
2024-02-19,13,"Qatar Exxon Mobil Open","1st Round","Hard","Outdoor","Kotov P.","Sonego L.",2,2.2,1.67,54.92,45.08,"Kotov P.",TRUE,"Sonego L.",FALSE,FALSE,13
2024-02-19,13,"Qatar Exxon Mobil Open","1st Round","Hard","Outdoor","Zhang Zh.","Musetti L.",2,2.2,1.67,44.34,55.66,"Musetti L.",FALSE,"Musetti L.",FALSE,FALSE,13
2024-02-19,13,"Qatar Exxon Mobil Open","1st Round","Hard","Outdoor","Fucsovics M.","Bautista Agut R.",2,1.73,2.1,55.49,44.51,"Fucsovics M.",TRUE,"Fucsovics M.",TRUE,FALSE,13
2024-02-20,13,"Qatar Exxon Mobil Open","1st Round","Hard","Outdoor","O Connell C.","Struff J.L.",2,2.38,1.57,36.89,63.11,"Struff J.L.",FALSE,"Struff J.L.",FALSE,FALSE,13
2024-02-20,13,"Qatar Exxon Mobil Open","1st Round","Hard","Outdoor","Murray A.","Muller A.",2,1.91,1.91,63.62,36.38,"Murray A.",TRUE,NA,FALSE,FALSE,13
2024-02-20,13,"Qatar Exxon Mobil Open","1st Round","Hard","Outdoor","Monfils G.","Van De Zandschulp B.",2,1.67,2.2,56.83,43.17,"Monfils G.",TRUE,"Monfils G.",TRUE,FALSE,13
2024-02-19,14,"Los Cabos Open","1st Round","Hard","Outdoor","Evans D.","Safiullin R.",2,2.75,1.44,40.44,59.56,"Safiullin R.",FALSE,"Safiullin R.",FALSE,FALSE,14
2024-02-20,14,"Los Cabos Open","1st Round","Hard","Outdoor","Purcell M.","Arnaldi M.",1,2.38,1.57,41.98,58.02,"Arnaldi M.",FALSE,"Arnaldi M.",FALSE,FALSE,14
2024-02-20,14,"Los Cabos Open","1st Round","Hard","Outdoor","Borges N.","Koepfer D.",2,2,1.8,51.52,48.48,"Borges N.",TRUE,"Koepfer D.",FALSE,FALSE,14
2024-02-20,14,"Los Cabos Open","1st Round","Hard","Outdoor","Hijikata R.","Kecmanovic M.",2,3,1.4,43.07,56.93,"Kecmanovic M.",FALSE,"Kecmanovic M.",FALSE,FALSE,14
2024-02-21,14,"Los Cabos Open","1st Round","Hard","Outdoor","Nishioka Y.","Cobolli F.",2,1.8,2,34.38,65.62,"Cobolli F.",FALSE,"Nishioka Y.",TRUE,TRUE,14
2024-02-21,14,"Los Cabos Open","1st Round","Hard","Outdoor","Giron M.","Daniel T.",2,1.4,3,60.79,39.21,"Giron M.",TRUE,"Giron M.",TRUE,FALSE,14
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Seyboth Wild T.","Tabilo A.",1,2.2,1.67,33.15,66.85,"Tabilo A.",FALSE,"Tabilo A.",FALSE,FALSE,15
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Djere L.","Zapata Miralles B.",2,1.44,2.75,64.37,35.63,"Djere L.",TRUE,"Djere L.",TRUE,FALSE,15
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Munar J.","Ofner S.",2,1.67,2.2,45.78,54.22,"Ofner S.",FALSE,"Munar J.",TRUE,TRUE,15
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Lajovic D.","Galan D.E.",1,1.57,2.38,71.24,28.76,"Lajovic D.",TRUE,"Lajovic D.",TRUE,FALSE,15
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Diaz Acosta F.","Wawrinka S.",2,2.2,1.67,43.3,56.7,"Wawrinka S.",FALSE,"Wawrinka S.",FALSE,FALSE,15
2024-02-21,15,"Rio Open","1st Round","Clay","Outdoor","Garin C.","Carballes Baena R.",1,2.2,1.67,61.59,38.41,"Garin C.",TRUE,"Carballes Baena R.",FALSE,FALSE,15
2024-02-21,15,"Rio Open","1st Round","Clay","Outdoor","Hanfmann Y.","Jarry N.",1,2.5,1.53,31.9,68.1,"Jarry N.",FALSE,"Jarry N.",FALSE,FALSE,15
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Shelton B.","Evans D.",1,1.36,3.2,57.21,42.79,"Shelton B.",TRUE,"Shelton B.",TRUE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Draper J.","Paul T.",2,2.1,1.73,53.62,46.38,"Draper J.",TRUE,"Paul T.",FALSE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Nishioka Y.","Borges N.",1,2.38,1.57,57.06,42.94,"Nishioka Y.",TRUE,"Borges N.",FALSE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","De Minaur A.","Daniel T.",2,1.13,6,74.44,25.56,"De Minaur A.",TRUE,"De Minaur A.",TRUE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Arnaldi M.","Fritz T.",1,5,1.17,39.35,60.65,"Fritz T.",FALSE,"Fritz T.",FALSE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Cobolli F.","Auger-Aliassime F.",1,3,1.4,46.35,53.65,"Auger-Aliassime F.",FALSE,"Auger-Aliassime F.",FALSE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Tiafoe F.","Purcell M.",1,1.36,3.2,61.14,38.86,"Tiafoe F.",TRUE,"Tiafoe F.",TRUE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Tsitsipas S.","Safiullin R.",2,1.4,3,58.09,41.91,"Tsitsipas S.",TRUE,"Tsitsipas S.",TRUE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Ruud C.","Eubanks C.",1,1.17,5,58.65,41.35,"Ruud C.",TRUE,"Ruud C.",TRUE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Kovacevic A.","Thompson J.",1,2.5,1.53,20.15,79.85,"Thompson J.",FALSE,"Thompson J.",FALSE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Altmaier D.","Zverev A.",1,10,1.06,28.12,71.88,"Zverev A.",FALSE,"Zverev A.",FALSE,FALSE,16
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Van De Zandschulp B.","Mannarino A.",2,1.91,1.91,40.99,59.01,"Mannarino A.",FALSE,NA,FALSE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Korda S.","Kotov P.",2,1.36,3.2,53.93,46.07,"Korda S.",TRUE,"Korda S.",TRUE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Bublik A.","Machac T.",1,2.1,1.73,38.46,61.54,"Machac T.",FALSE,"Machac T.",FALSE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Rublev A.","Zhang Zh.",1,1.17,5,63.78,36.22,"Rublev A.",TRUE,"Rublev A.",TRUE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Hurkacz H.","Struff J.L.",1,1.17,5,56.55,43.45,"Hurkacz H.",TRUE,"Hurkacz H.",TRUE,FALSE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Lehecka J.","Fucsovics M.",1,1.62,2.3,49.9,50.1,"Fucsovics M.",FALSE,"Lehecka J.",TRUE,TRUE,17
