ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,z_val,TTT_Prob_W,pred,ttt_correct,bookie_pred,bookie_correct,Book_Prob_W,ELO_Prob_W,elo_pred,elo_correct,tournament_set,ATPk,y
19,Indian Wells,BNP Paribas Open,2024-03-08,Masters 1000,Outdoor,Hard,1st Round,3,Muller A.,Grenier H.,88,146,689,455,7,6,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.89,2,1.89,2.02,1.82,1.98,1.375196402868667,0.4126678070443312,1.8964052083467713,0.6597020899492443,1.375196402868667,1.8964052083467713,0.4126678070443312,0.6597020899492443,-0.6698138273914336,0.2514882389205526,Grenier H.,FALSE,Muller A.,TRUE,0.5263157894736842,0.4992499207965345,Grenier H.,FALSE,All_2024_R1,19,1
19,Indian Wells,BNP Paribas Open,2024-03-08,Masters 1000,Outdoor,Hard,1st Round,3,Tabilo A.,Kotov P.,39,67,1116,819,4,6,6,3,7,5,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.66,2.34,1.7,2.34,1.64,2.26,1.3857597706314095,0.5754391970887959,2.148274432687303,0.3435175202295553,1.3857597706314095,2.148274432687303,0.5754391970887959,0.3435175202295553,-1.1377843702060526,0.12760526649556797,Kotov P.,FALSE,Tabilo A.,TRUE,0.586734693877551,0.4989026549530781,Kotov P.,FALSE,All_2024_R1,19,1
19,Indian Wells,BNP Paribas Open,2024-03-08,Masters 1000,Outdoor,Hard,1st Round,3,Shapovalov D.,Van De Zandschulp B.,131,82,485,750,6,1,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.68,2.3,1.7,2.3,1.64,2.24,1.9232509424570088,0.3585869849537481,2.11500917830429,0.2764197124375463,1.9232509424570088,2.11500917830429,0.3585869849537481,0.2764197124375463,-0.4235308573796614,0.33595399492904604,Van De Zandschulp B.,FALSE,Shapovalov D.,TRUE,0.586734693877551,0.4997240377434458,Van De Zandschulp B.,FALSE,All_2024_R1,19,1
20,Miami,Miami Open,2024-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Van Assche L.,Kotov P.,80,67,736,823,6,3,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.67,2.31,1.75,2.36,1.66,2.21,1.2363610878112266,0.3757025733226659,2.063877750901899,0.3378440820362951,1.2363610878112266,2.063877750901899,0.3757025733226659,0.3378440820362951,-1.6377927905920557,0.050732463005935056,Kotov P.,FALSE,Van Assche L.,TRUE,0.5483028720626633,0.4988091100440333,Kotov P.,FALSE,All_2024_R1,20,1
20,Miami,Miami Open,2024-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Shapovalov D.,Darderi L.,126,75,505,771,6,3,6,7,6,4,NA,NA,NA,NA,2,1,Completed,1.25,4,1.25,4.37,1.3,4.37,1.24,3.95,2.009433425426256,0.35123475997815556,2.0928789756292083,0.8430354496546019,2.009433425426256,2.0928789756292083,0.35123475997815556,0.8430354496546019,-0.09136939049774542,0.463599541416475,Darderi L.,FALSE,Shapovalov D.,TRUE,0.7619047619047619,0.49987991220232536,Darderi L.,FALSE,All_2024_R1,20,1
20,Miami,Miami Open,2024-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Michelsen A.,Klein L.,73,128,776,502,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.76,2.17,1.77,2.21,1.72,2.1,2.0605454037905164,0.4648033880266136,2.506243533529572,0.9930359765159577,2.0605454037905164,2.506243533529572,0.4648033880266136,0.9930359765159577,-0.4064987346730961,0.3421880932507043,Klein L.,FALSE,Michelsen A.,TRUE,0.5483028720626633,0.49935858918339693,Klein L.,FALSE,All_2024_R1,20,1
20,Miami,Miami Open,2024-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Altmaier D.,Mayot H.,54,141,951,472,6,2,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.81,2.1,1.82,2.12,1.76,2.04,1.5653375706789918,0.3030569945744371,2.419366553498772,0.7882036449056476,1.5653375706789918,2.419366553498772,0.3030569945744371,0.7882036449056476,-1.0113344339904418,0.15592819531089422,Mayot H.,FALSE,Altmaier D.,TRUE,0.5483028720626633,0.49877095597236826,Mayot H.,FALSE,All_2024_R1,20,1
20,Miami,Miami Open,2024-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Ofner S.,Nishikori K.,40,351,1076,143,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.87,2.03,1.87,2.1,1.8,2,1.90217155238287,0.34262528178042656,2.7684971031540875,1.1301081629222962,1.90217155238287,2.7684971031540875,0.34262528178042656,1.1301081629222962,-0.7336115726442627,0.2315927528742831,Nishikori K.,FALSE,Ofner S.,TRUE,0.5263157894736842,0.4987532598970515,Nishikori K.,FALSE,All_2024_R1,20,1
21,Estoril,Estoril Open,2024-04-01,ATP250,Outdoor,Clay,1st Round,3,Borges N.,Pouille L.,62,241,871,252,0,6,7,6,6,3,NA,NA,NA,NA,2,1,Completed,1.5,2.63,1.45,2.93,1.53,2.93,1.46,2.69,1.1373470103647494,0.3763408945690181,1.7433005401815416,0.9696008439164956,1.1373470103647494,1.7433005401815416,0.3763408945690181,0.9696008439164956,-0.5826050014560844,0.28007961886526556,Pouille L.,FALSE,Borges N.,TRUE,0.6368038740920097,0.4991279636561832,Pouille L.,FALSE,All_2024_R1,21,1
21,Estoril,Estoril Open,2024-04-03,ATP250,Outdoor,Clay,1st Round,3,Martinez P.,Altmaier D.,77,54,741,955,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.72,2.23,1.75,2.23,1.7,2.14,1.0599866120262325,0.5070419813322018,1.614026220181238,0.2993028270568676,1.0599866120262325,1.614026220181238,0.5070419813322018,0.2993028270568676,-0.9409798689226194,0.1733575878294326,Altmaier D.,FALSE,Martinez P.,TRUE,0.5483028720626633,0.49920267358668,Altmaier D.,FALSE,All_2024_R1,21,1
