"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-05-28,32,"French Open","1st Round","Clay","Outdoor","De Minaur A.","Michelsen A.",1.08,8,95.88,4.12,"De Minaur A.",TRUE,"De Minaur A.",TRUE,FALSE,32
2024-05-28,32,"French Open","1st Round","Clay","Outdoor","Rinderknech A.","Walton A.",1.14,5.5,60.37,39.63,"Rinderknech A.",TRUE,"Rinderknech A.",TRUE,FALSE,32
2024-05-28,32,"French Open","1st Round","Clay","Outdoor","Fritz T.","Coria F.",1.14,5.5,99.98,0.02,"Fritz T.",TRUE,"Fritz T.",TRUE,FALSE,32
2024-05-28,32,"French Open","1st Round","Clay","Outdoor","Rune H.","Evans D.",1.08,8,99.92,0.08,"Rune H.",TRUE,"Rune H.",TRUE,FALSE,32
2024-05-28,32,"French Open","1st Round","Clay","Outdoor","Darderi L.","Hijikata R.",1.06,10,23.85,76.15,"Hijikata R.",FALSE,"Darderi L.",TRUE,TRUE,32
2024-05-28,32,"French Open","1st Round","Clay","Outdoor","Kokkinakis T.","Popyrin A.",2,1.8,57.11,42.89,"Kokkinakis T.",TRUE,"Popyrin A.",FALSE,FALSE,32
2024-05-28,32,"French Open","1st Round","Clay","Outdoor","Carballes Baena R.","Lestienne C.",1.14,5.5,95.38,4.62,"Carballes Baena R.",TRUE,"Carballes Baena R.",TRUE,FALSE,32
2024-05-28,32,"French Open","1st Round","Clay","Outdoor","Griekspoor T.","Mcdonald M.",1.1,7,92.3,7.7,"Griekspoor T.",TRUE,"Griekspoor T.",TRUE,FALSE,32
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Struff J.L.","Marozsan F.",1.25,4,46.89,53.11,"Marozsan F.",FALSE,"Struff J.L.",TRUE,TRUE,39
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Dimitrov G.","Lajovic D.",1.03,15,99.65,0.35,"Dimitrov G.",TRUE,"Dimitrov G.",TRUE,FALSE,39
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Tiafoe F.","Arnaldi M.",1.62,2.3,78,22,"Tiafoe F.",TRUE,"Tiafoe F.",TRUE,FALSE,39
