ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,GamesMatch,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,Fatigue_W,Fatigue_L,mu_winner,mu_loser,sigma_winner,sigma_loser,p_ttt_win,p_fat_win,y,pred_base,ttt_correct,pred_fat,ttt_fat_correct,p_book,pred_book,bookie_correct,p_base_fav,y_base_fav,p_fat_fav,y_fat_fav,p_book_fav,y_book_fav,theta_used,ATP_k,cfg_window,cfg_delta,cfg_transform,cfg_fat_mode,cfg_alpha_sigma
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-17,ATP500,Indoor,Hard,Semifinals,3,De Minaur A.,Dimitrov G.,11,13,2970,2905,6,4,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.84,2.08,1.85,2.12,1.76,2.04,19,3.039228203617202,0.25779616006968303,3.4169801543064113,0.267238137058611,59.59361874999999,134.52187626410154,3.039228203617202,3.4169801543064113,0.25779616006968303,0.267238137058611,0.15449713638197443,0.4701276143506434,1,Dimitrov G.,FALSE,Dimitrov G.,FALSE,0.5483028720626633,De Minaur A.,TRUE,0.8455028636180255,0,0.5298723856493566,0,0.5483028720626633,1,0,12,10,0.95,linear,sigma_inflate,0.12
14,Los Cabos,Los Cabos Open,2024-02-21,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Cobolli F.,84,69,700,825,6,1,6,0,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.93,1.96,1.93,2.01,1.85,1.93,13,2.023837644769617,0.30272833559411927,2.204595959201685,0.5794785842406124,18.277232882013664,55.29167756046873,2.023837644769617,2.204595959201685,0.30272833559411927,0.5794785842406124,0.3910904317632538,0.484080854746763,1,Cobolli F.,FALSE,Cobolli F.,FALSE,0.5263157894736842,Nishioka Y.,TRUE,0.6089095682367462,0,0.515919145253237,0,0.5263157894736842,1,0,14,10,0.95,linear,sigma_inflate,0.12
14,Los Cabos,Los Cabos Open,2024-02-22,ATP250,Outdoor,Hard,2nd Round,3,Borges N.,Purcell M.,47,51,997,961,6,3,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.63,2.44,1.65,2.44,1.59,2.32,18,1.196437604103486,0.40652251136368794,1.490676220767423,0.35690177877004803,48.785207412638954,40.31023760421679,1.196437604103486,1.490676220767423,0.40652251136368794,0.35690177877004803,0.29324903005878034,0.46630046528751873,1,Purcell M.,FALSE,Purcell M.,FALSE,0.6025316455696202,Borges N.,TRUE,0.7067509699412197,0,0.5336995347124813,0,0.6025316455696202,1,0,14,10,0.95,linear,sigma_inflate,0.12
15,Rio de Janeiro,Rio Open,2024-02-20,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Ofner S.,73,37,776,1091,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.81,2.1,1.81,2.22,1.72,2.09,16,1.6159344661371493,0.33271233438195774,2.0502446231043256,0.3550541451854741,0,23.74346806718749,1.6159344661371493,2.0502446231043256,0.33271233438195774,0.3550541451854741,0.1860422758432384,0.3787494550599038,1,Ofner S.,FALSE,Ofner S.,FALSE,0.5684754521963824,Munar J.,TRUE,0.8139577241567616,0,0.6212505449400962,0,0.5684754521963824,1,0,15,10,0.95,linear,sigma_inflate,0.12
15,Rio de Janeiro,Rio Open,2024-02-24,ATP500,Outdoor,Clay,Semifinals,3,Baez S.,Cerundolo F.,30,22,1415,1685,7,5,6,0,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.62,2.46,1.62,2.67,1.56,2.39,18,2.04198542886572,0.2650460347746206,2.482252029848901,0.25860567003574747,95.00151800214627,68.8098074705292,2.04198542886572,2.482252029848901,0.2650460347746206,0.25860567003574747,0.11723409863103675,0.4568874910656828,1,Cerundolo F.,FALSE,Cerundolo F.,FALSE,0.6203473945409429,Baez S.,TRUE,0.8827659013689633,0,0.5431125089343172,0,0.6203473945409429,1,0,15,10,0.95,linear,sigma_inflate,0.12
16,Acapulco,Abierto Mexicano,2024-02-29,ATP500,Outdoor,Hard,2nd Round,3,Shelton B.,Arnaldi M.,17,42,2055,1061,7,6,3,6,6,3,NA,NA,NA,NA,2,1,Completed,1.4,3,1.51,2.78,1.51,3,1.44,2.72,31,2.3265145141617967,0.27327480179262376,2.390107775813692,0.33566987101390755,29.7825,45.079982291738276,2.3265145141617967,2.390107775813692,0.27327480179262376,0.33566987101390755,0.44159766089429625,0.48980511623510553,1,Arnaldi M.,FALSE,Arnaldi M.,FALSE,0.6818181818181818,Shelton B.,TRUE,0.5584023391057038,0,0.5101948837648944,0,0.6818181818181818,1,0,16,10,0.95,linear,sigma_inflate,0.12
16,Acapulco,Abierto Mexicano,2024-03-02,ATP500,Outdoor,Hard,Semifinals,3,Ruud C.,Rune H.,11,7,3120,3700,3,6,6,3,6,4,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.66,2.37,1.73,2.37,1.64,2.23,28,2.6121228891304344,0.2667236840713947,3.0216404654959104,0.2535127687407185,129.7822616956445,58.227875,2.6121228891304344,3.0216404654959104,0.2667236840713947,0.2535127687407185,0.13288084246727072,0.46643979127727364,1,Rune H.,FALSE,Rune H.,FALSE,0.5483028720626633,Ruud C.,TRUE,0.8671191575327293,0,0.5335602087227264,0,0.5483028720626633,1,0,16,10,0.95,linear,sigma_inflate,0.12
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Humbert U.,Monfils G.,18,54,1990,937,4,6,6,3,6,3,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.51,2.72,1.58,2.72,1.51,2.5,28,2.4812803129121113,0.26700334590194186,2.5653810527555185,0.34558436574916784,26.42461901562499,74.80018146874997,2.4812803129121113,2.5653810527555185,0.26700334590194186,0.34558436574916784,0.4236454714197674,0.49074009431611715,1,Monfils G.,FALSE,Monfils G.,FALSE,0.6203473945409429,Humbert U.,TRUE,0.5763545285802326,0,0.5092599056838829,0,0.6203473945409429,1,0,17,10,0.95,linear,sigma_inflate,0.12
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Cazaux A.,Musetti L.,86,26,701,1480,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.5,2.78,1.5,2.9,1.43,2.75,23,1.4816287694416166,0.869065240730833,2.446518829246924,0.26941598861456384,0,9.28788603804687,1.4816287694416166,2.446518829246924,0.869065240730833,0.26941598861456384,0.1444647707090586,0.17656336556875243,1,Musetti L.,FALSE,Musetti L.,FALSE,0.6563245823389022,Cazaux A.,TRUE,0.8555352292909414,0,0.8234366344312476,0,0.6563245823389022,1,0,17,10,0.95,linear,sigma_inflate,0.12
17,Dubai,Dubai Tennis Championships,2024-02-28,ATP500,Outdoor,Hard,2nd Round,3,Davidovich Fokina A.,Mensik J.,24,87,1540,701,7,6,1,0,NA,NA,NA,NA,NA,NA,1,0,Retired,1.67,2.2,1.75,2.21,1.75,2.23,1.7,2.14,14,2.4945632548959296,0.27050952834457603,3.662430227657865,0.9815091430273076,39.95866991964843,128.65288607667966,2.4945632548959296,3.662430227657865,0.27050952834457603,0.9815091430273076,0.12567015505617432,0.4712832595705286,1,Mensik J.,FALSE,Mensik J.,FALSE,0.5684754521963824,Davidovich Fokina A.,TRUE,0.8743298449438257,0,0.5287167404294715,0,0.5684754521963824,1,0,17,10,0.95,linear,sigma_inflate,0.12
