ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,margin,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,denom,z_val,TTT_Prob_W,TTT_Prob_L,pred,ttt_correct,bookie_pred,bookie_correct,ATPk,tournament_set
20,Miami,Miami Open,2024-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Van Assche L.,Kotov P.,80,67,736,823,6,3,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.67,2.31,1.75,2.36,1.66,2.21,2,-0.05445604189380418,0.3253854634560005,0.4665877758719681,0.48743478102501125,-0.05445604189380418,0.4665877758719681,0.3253854634560005,0.48743478102501125,0.586061742123965,-0.889059599552499,0.18698552495402693,0.8130144750459731,Kotov P.,FALSE,Van Assche L.,TRUE,20,All_2024_R1
20,Miami,Miami Open,2024-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Popyrin A.,Diaz Acosta F.,45,55,1032,943,6,2,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.57,2.5,1.58,2.63,1.54,2.49,2,0.33309601367571673,0.2873909995434194,0.3832507654173545,0.5451721687733002,0.33309601367571673,0.3832507654173545,0.2873909995434194,0.5451721687733002,0.6162842527791453,-0.081382497630702,0.46756888390181806,0.532431116098182,Diaz Acosta F.,FALSE,Popyrin A.,TRUE,20,All_2024_R1
23,Marrakech,Grand Prix Hassan II,2024-04-02,ATP250,Outdoor,Clay,1st Round,3,Fognini F.,Gaston H.,100,89,599,662,6,7,6,1,6,4,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.8,2.11,1.82,2.12,1.76,2.04,1,-0.26694833219608405,0.5940046037366759,0.32108428749127793,0.7363856820936432,-0.26694833219608405,0.32108428749127793,0.5940046037366759,0.7363856820936432,0.9461000697880142,-0.6215332166914629,0.26712442313477425,0.7328755768652258,Gaston H.,FALSE,Fognini F.,TRUE,23,All_2024_R1
24,Monte Carlo,Monte Carlo Masters,2024-04-07,Masters 1000,Outdoor,Clay,1st Round,3,Coric B.,Bublik A.,33,18,1204,1992,6,1,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.59,2.5,1.59,3.1,1.54,2.46,2,-0.05669831909640453,0.28135601297348256,0.3638122802075383,0.2595551096464793,-0.05669831909640453,0.3638122802075383,0.28135601297348256,0.2595551096464793,0.3827924515712534,-1.0985341993497189,0.13598564627211693,0.864014353727883,Bublik A.,FALSE,Coric B.,TRUE,24,All_2024_R1
24,Monte Carlo,Monte Carlo Masters,2024-04-08,Masters 1000,Outdoor,Clay,1st Round,3,Ofner S.,Evans D.,44,50,1056,996,6,1,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.81,2.1,1.83,2.1,1.78,2.03,2,-0.02131002017299356,0.3189741997955755,0.2691861202899077,0.25576782579560037,-0.02131002017299356,0.2691861202899077,0.3189741997955755,0.25576782579560037,0.4088541559620451,-0.710512871709365,0.2386930758980477,0.7613069241019523,Evans D.,FALSE,Ofner S.,TRUE,24,All_2024_R1
24,Monte Carlo,Monte Carlo Masters,2024-04-09,Masters 1000,Outdoor,Clay,1st Round,3,Bautista Agut R.,Diaz Acosta F.,90,53,668,943,6,2,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.91,1.98,1.91,2.1,1.82,1.97,2,0.1967453743162628,0.257895576713916,0.23343805835138848,0.5106425829670813,0.1967453743162628,0.23343805835138848,0.257895576713916,0.5106425829670813,0.5720716528791615,-0.06414001436787896,0.47442937028282944,0.5255706297171705,Diaz Acosta F.,FALSE,Bautista Agut R.,TRUE,24,All_2024_R1
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Nakashima B.,Evans D.,87,49,695,996,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.51,2.75,1.53,2.8,1.48,2.65,2,-0.06754437779777096,0.29125642407880475,0.23076662990308727,0.25303143226050917,-0.06754437779777096,0.23076662990308727,0.29125642407880475,0.25303143226050917,0.3858175867932632,-0.7731918344632263,0.21970442896938172,0.7802955710306183,Evans D.,FALSE,Nakashima B.,TRUE,25,All_2024_R1
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Bautista Agut R.,Safiullin R.,84,38,703,1139,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.76,2.17,1.76,2.3,1.67,2.21,2,0.23358043790998073,0.25470293023438717,0.539119827912334,0.2758239672883574,0.23358043790998073,0.539119827912334,0.25470293023438717,0.2758239672883574,0.3754363376135453,-0.8138247670550732,0.207872672267614,0.792127327732386,Safiullin R.,FALSE,Bautista Agut R.,TRUE,25,All_2024_R1
25,Barcelona,Barcelona Open,2024-04-16,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Nishioka Y.,73,71,770,788,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.25,4,1.3,3.85,1.3,4.05,1.27,3.74,2,-0.0311615992632777,0.3367216452484237,0.08049839293613549,0.25040274971465976,-0.0311615992632777,0.08049839293613549,0.3367216452484237,0.25040274971465976,0.4196224534548501,-0.2660963236835643,0.3950825131209131,0.604917486879087,Nishioka Y.,FALSE,Munar J.,TRUE,25,All_2024_R1
26,Bucharest,Tiriac Open,2024-04-15,ATP250,Outdoor,Clay,1st Round,3,Rinderknech A.,Gaston H.,79,96,729,642,6,7,6,4,7,5,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.65,2.37,1.68,2.5,1.62,2.27,1,-0.2608731992847789,0.32402249718907844,0.12373709606057905,0.6689541965336689,-0.2608731992847789,0.12373709606057905,0.32402249718907844,0.6689541965336689,0.7432969095487031,-0.5174383081706558,0.30242511185028764,0.6975748881497124,Gaston H.,FALSE,Rinderknech A.,TRUE,26,All_2024_R1
26,Bucharest,Tiriac Open,2024-04-16,ATP250,Outdoor,Clay,1st Round,3,Borges N.,Wawrinka S.,55,86,911,697,3,6,7,5,6,2,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.58,2.53,1.62,2.53,1.57,2.37,1,-0.2273041922676753,0.31644795496408507,0.36075241701970706,0.26513377477743655,-0.2273041922676753,0.36075241701970706,0.31644795496408507,0.26513377477743655,0.4128380151205604,-1.424424563022989,0.07716180398853784,0.9228381960114622,Wawrinka S.,FALSE,Borges N.,TRUE,26,All_2024_R1
27,Munich,BMW Open,2024-04-16,ATP250,Outdoor,Clay,1st Round,3,Hanfmann Y.,Shevchenko A.,61,63,894,879,6,7,6,3,7,5,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.73,2.22,1.75,2.22,1.7,2.11,1,-0.18305920355220692,0.2886571331134968,0.22304858519912923,0.2737012412659572,-0.18305920355220692,0.22304858519912923,0.2886571331134968,0.2737012412659572,0.39778802139811686,-1.020915077643559,0.15364733749254283,0.8463526625074571,Shevchenko A.,FALSE,Hanfmann Y.,TRUE,27,All_2024_R1
