ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,GamesMatch,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,Fatigue_W,Fatigue_L,mu_winner,mu_loser,sigma_winner,sigma_loser,p_ttt_win,p_adj_win,y,pred_base,ttt_correct,pred_fat,ttt_fat_correct,p_book,pred_book,bookie_correct,p_base_fav,y_base_fav,p_fat_fav,y_fat_fav,p_book_fav,y_book_fav,theta_used,ATP_k
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-18,ATP250,Outdoor,Hard,1st Round,3,Cazaux A.,Van De Zandschulp B.,97,73,596,739,6,1,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.94,1.94,1.99,2,1.86,1.92,20,1.6759163460808766,0.45559489278134535,2.013870649464832,0.2408321370422646,0,0,1.6759163460808766,2.013870649464832,0.45559489278134535,0.2408321370422646,0.2559765742352573,0.2559765742352573,1,Van De Zandschulp B.,FALSE,Van De Zandschulp B.,FALSE,0.5263157894736842,Cazaux A.,TRUE,0.7440234257647427,0,0.7440234257647427,0,0.5263157894736842,1,-0.038126255718685415,50
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-19,ATP250,Outdoor,Hard,1st Round,3,Tien L.,Schoolkate T.,231,196,251,306,3,6,6,2,6,3,NA,NA,NA,NA,2,1,Completed,1.44,2.75,1.46,2.92,1.5,2.92,1.44,2.72,26,-1.6733564235496308,3.0368230116843,-1.5586107169228396,3.0798310036629353,0,0,-1.6733564235496308,-1.5586107169228396,3.0368230116843,3.0798310036629353,0.4894175575179314,0.48941755751793137,1,Schoolkate T.,FALSE,Schoolkate T.,FALSE,0.6563245823389022,Tien L.,TRUE,0.5105824424820686,0,0.5105824424820686,0,0.6563245823389022,1,-0.038126255718685415,50
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-19,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Munar J.,90,82,635,682,7,5,4,6,6,3,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.81,2.09,1.85,2.13,1.76,2.05,31,1.4687208963029628,0.32860234399666394,1.6501008049845602,0.2536135138938276,0,0,1.4687208963029628,1.6501008049845602,0.32860234399666394,0.2536135138938276,0.33106809140106075,0.33106809140106075,1,Munar J.,FALSE,Munar J.,FALSE,0.5483028720626633,Goffin D.,TRUE,0.6689319085989393,0,0.6689319085989393,0,0.5483028720626633,1,-0.038126255718685415,50
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-20,ATP250,Outdoor,Hard,2nd Round,3,Vukic A.,Mannarino A.,94,42,604,1170,7,6,2,6,6,1,NA,NA,NA,NA,2,1,Completed,1.57,2.38,1.69,2.29,1.69,2.43,1.61,2.28,28,1.6068018904807717,0.25785696798419533,2.223602961991039,0.21935553067287497,14.0625,0,1.6068018904807717,2.223602961991039,0.25785696798419533,0.21935553067287497,0.034230340914243144,0.05712658325313522,1,Mannarino A.,FALSE,Mannarino A.,FALSE,0.6025316455696202,Vukic A.,TRUE,0.9657696590857568,0,0.9428734167468648,0,0.6025316455696202,1,-0.038126255718685415,50
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-20,ATP250,Outdoor,Hard,2nd Round,3,Rinderknech A.,O Connell C.,56,86,903,668,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.59,2.5,1.67,2.5,1.6,2.31,19,1.7279860526639763,0.2501278758680078,1.9679941178328697,0.2575558323148794,0,16.5,1.7279860526639763,1.9679941178328697,0.2501278758680078,0.2575558323148794,0.2519073805035593,0.1521871979907575,1,O Connell C.,FALSE,O Connell C.,FALSE,0.5684754521963824,Rinderknech A.,TRUE,0.7480926194964407,0,0.8478128020092425,0,0.5684754521963824,1,-0.038126255718685415,50
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-20,ATP250,Outdoor,Hard,2nd Round,3,Goffin D.,Darderi L.,90,38,635,1291,6,2,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.79,2.12,1.8,2.2,1.72,2.08,18,1.4687208963029628,0.32860234399666394,2.475991481587207,0.2960392402157124,23.25,0,1.4687208963029628,2.475991481587207,0.32860234399666394,0.2960392402157124,0.011380922361222807,0.027174249226581737,1,Darderi L.,FALSE,Darderi L.,FALSE,0.5684754521963824,Goffin D.,TRUE,0.9886190776387772,0,0.9728257507734183,0,0.5684754521963824,1,-0.038126255718685415,50
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-20,ATP250,Outdoor,Hard,2nd Round,3,Sonego L.,Stricker D.,58,182,886,332,6,4,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.75,2.19,1.8,2.31,1.67,2.18,17,2.192140914372992,0.22477258517379697,2.2454909610191636,0.486901428275658,0,15,2.192140914372992,2.2454909610191636,0.22477258517379697,0.486901428275658,0.4603778722552452,0.32503776770258735,1,Stricker D.,FALSE,Stricker D.,FALSE,0.586734693877551,Sonego L.,TRUE,0.5396221277447548,0,0.6749622322974127,0,0.586734693877551,1,-0.038126255718685415,50
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-20,ATP250,Outdoor,Hard,2nd Round,3,Coric B.,Baez S.,87,21,647,2040,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.71,2.24,1.75,2.24,1.7,2.13,19,1.9951403440939977,0.2672397121657417,2.3577321573577517,0.2066347137029979,10.125,0,1.9951403440939977,2.3577321573577517,0.2672397121657417,0.2066347137029979,0.14155410281941067,0.19522447724990996,1,Baez S.,FALSE,Baez S.,FALSE,0.5483028720626633,Coric B.,TRUE,0.8584458971805893,0,0.80477552275009,0,0.5483028720626633,1,-0.038126255718685415,50
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-20,ATP250,Outdoor,Hard,2nd Round,3,Carreno Busta P.,Shevchenko A.,300,60,177,855,6,2,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.4,3,1.4,3.2,1.44,3.2,1.39,2.92,16,1.5976214253417702,0.5695888753657921,2.0431737479370735,0.24467289415300983,10.5,0,1.5976214253417702,2.0431737479370735,0.5695888753657921,0.24467289415300983,0.23615373389755065,0.31570997406433476,1,Shevchenko A.,FALSE,Shevchenko A.,FALSE,0.6818181818181818,Carreno Busta P.,TRUE,0.7638462661024493,0,0.6842900259356652,0,0.6818181818181818,1,-0.038126255718685415,50
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-20,ATP250,Outdoor,Hard,2nd Round,3,Shang J.,Navone M.,77,37,729,1303,7,5,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.22,4.33,1.23,4.68,1.25,4.68,1.22,4.16,21,2.065446938067302,0.30973986704667544,2.1374662994461326,0.3616851667493192,11.25,0,2.065446938067302,2.1374662994461326,0.30973986704667544,0.3616851667493192,0.4398926201035786,0.5466941677264076,1,Navone M.,FALSE,Shang J.,TRUE,0.7801801801801801,Shang J.,TRUE,0.5601073798964213,0,0.5466941677264076,1,0.7801801801801801,1,-0.038126255718685415,50
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-21,ATP250,Outdoor,Hard,2nd Round,3,Michelsen A.,Fucsovics M.,52,79,960,701,7,6,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.76,2.17,1.76,2.24,1.69,2.14,23,2.0111374389259007,0.27280113507525283,2.399361621519884,0.26142066091418914,0,10.546875,2.0111374389259007,2.399361621519884,0.27280113507525283,0.26142066091418914,0.15209497766128918,0.10713207006640582,1,Fucsovics M.,FALSE,Fucsovics M.,FALSE,0.5483028720626633,Michelsen A.,TRUE,0.8479050223387108,0,0.8928679299335942,0,0.5483028720626633,1,-0.038126255718685415,50
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-22,ATP250,Outdoor,Hard,3rd Round,3,Carreno Busta P.,Vukic A.,300,94,177,604,6,3,4,6,6,3,NA,NA,NA,NA,2,1,Completed,1.44,2.75,1.51,2.77,1.51,2.86,1.45,2.69,28,1.5976214253417702,0.5695888753657921,1.6068018904807717,0.25785696798419533,14.90625,15.75,1.5976214253417702,1.6068018904807717,0.5695888753657921,0.25785696798419533,0.4941424735876334,0.4861035282912615,1,Vukic A.,FALSE,Vukic A.,FALSE,0.6563245823389022,Carreno Busta P.,TRUE,0.5058575264123666,0,0.5138964717087384,0,0.6563245823389022,1,-0.038126255718685415,50
