ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,GamesMatch,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,Fatigue_W,Fatigue_L,mu_winner,mu_loser,sigma_winner,sigma_loser,p_ttt_win,p_adj_win,pred,ttt_correct,pred_fat,ttt_fat_correct,bookie_pred,bookie_correct,theta_used
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-13,ATP500,Indoor,Hard,1st Round,3,Fucsovics M.,Marozsan F.,86,61,682,896,7,6,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.68,2.31,1.68,2.31,1.64,2.22,20,2.2959115858129238,0.3097281064825281,2.5618832446987554,0.4170848577435621,0,0,2.2959115858129238,2.5618832446987554,0.3097281064825281,0.4170848577435621,0.30433747831732655,0.30433747831732655,Marozsan F.,FALSE,Marozsan F.,FALSE,Fucsovics M.,TRUE,-0.03460544496778959
14,Los Cabos,Los Cabos Open,2024-02-21,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Cobolli F.,84,69,700,825,6,1,6,0,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.93,1.96,1.93,2.01,1.85,1.93,13,2.071077382302337,0.30274593850178794,2.2509320228647223,0.5795226762106463,0,0,2.071077382302337,2.2509320228647223,0.30274593850178794,0.5795226762106463,0.3916289110054565,0.39162891100545644,Cobolli F.,FALSE,Cobolli F.,FALSE,Nishioka Y.,TRUE,-0.03247936699832713
14,Los Cabos,Los Cabos Open,2024-02-21,ATP250,Outdoor,Hard,1st Round,3,Nava E.,Schwartzman D.,146,115,443,538,6,4,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.85,2.05,1.87,2.05,1.81,1.97,19,0.17523232981979045,0.9128027555917745,1.4573657185176825,0.3352775208561515,0,0,0.17523232981979045,1.4573657185176825,0.9128027555917745,0.3352775208561515,0.09367081465973602,0.09367081465973602,Schwartzman D.,FALSE,Schwartzman D.,FALSE,Nava E.,TRUE,-0.03247936699832713
15,Rio de Janeiro,Rio Open,2024-02-20,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Ofner S.,73,37,776,1091,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.81,2.1,1.81,2.22,1.72,2.09,16,1.6620798868743514,0.3327344171799165,2.0968624945030596,0.3550683264108884,0,0,1.6620798868743514,2.0968624945030596,0.3327344171799165,0.3550683264108884,0.18579481173308152,0.18579481173308152,Ofner S.,FALSE,Ofner S.,FALSE,Munar J.,TRUE,-0.032616047593295935
15,Rio de Janeiro,Rio Open,2024-02-20,ATP500,Outdoor,Clay,1st Round,3,Meligeni Alves F.,Cachin P.,153,76,416,754,6,2,3,6,6,3,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.62,2.44,1.73,2.44,1.63,2.25,26,1.0030852195383775,0.8846515972620479,1.3054598211973485,0.322851625393925,0,0,1.0030852195383775,1.3054598211973485,0.8846515972620479,0.322851625393925,0.37407235594185456,0.37407235594185456,Cachin P.,FALSE,Cachin P.,FALSE,Meligeni Alves F.,TRUE,-0.032616047593295935
15,Rio de Janeiro,Rio Open,2024-02-21,ATP500,Outdoor,Clay,1st Round,3,Navone M.,Coria F.,113,85,551,678,1,6,6,4,6,2,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.75,2.18,1.75,2.3,1.67,2.18,25,-2.687464184720661,2.5704655623245154,1.4608553369167594,0.42367490738899277,0,0,-2.687464184720661,1.4608553369167594,2.5704655623245154,0.42367490738899277,0.05565248789080281,0.05565248789080281,Coria F.,FALSE,Coria F.,FALSE,Navone M.,TRUE,-0.032616047593295935
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Humbert U.,Monfils G.,18,54,1990,937,4,6,6,3,6,3,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.51,2.72,1.58,2.72,1.51,2.5,28,2.5288958517796947,0.26701728887298304,2.612770475633601,0.34559675479237223,0,0,2.5288958517796947,2.612770475633601,0.26701728887298304,0.34559675479237223,0.4238514023370831,0.4238514023370832,Monfils G.,FALSE,Monfils G.,FALSE,Humbert U.,TRUE,-0.03276497544353715
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Cazaux A.,Musetti L.,86,26,701,1480,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.5,2.78,1.5,2.9,1.43,2.75,23,1.5264165406145191,0.8690814517377639,2.4940238648084883,0.26943406769067213,0,0,1.5264165406145191,2.4940238648084883,0.8690814517377639,0.26943406769067213,0.14379238174638964,0.14379238174638964,Musetti L.,FALSE,Musetti L.,FALSE,Cazaux A.,TRUE,-0.03276497544353715
18,Santiago,Chile Open,2024-02-27,ATP250,Indoor,Clay,1st Round,3,Seyboth Wild T.,Burruchaga R.,73,159,802,397,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.61,2.44,1.61,2.5,1.56,2.38,20,1.028670420709317,0.5634890915184342,3.792964228089324,2.471515610551755,0,0,1.028670420709317,3.792964228089324,0.5634890915184342,2.471515610551755,0.1377513225938381,0.1377513225938381,Burruchaga R.,FALSE,Burruchaga R.,FALSE,Seyboth Wild T.,TRUE,-0.03332671335178117
19,Indian Wells,BNP Paribas Open,2024-03-06,Masters 1000,Outdoor,Hard,1st Round,3,Nakashima B.,Eubanks C.,93,34,645,1234,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.48,2.82,1.53,2.82,1.48,2.67,22,1.603333898521496,0.33395886804801345,2.1023053834904553,0.2978858129641976,0,0,1.603333898521496,2.1023053834904553,0.33395886804801345,0.2978858129641976,0.1324258197993686,0.1324258197993686,Eubanks C.,FALSE,Eubanks C.,FALSE,Nakashima B.,TRUE,-0.03309699410245063
