ATP,player,SurfTag,mu_surface,sigma_surface,mov_w_scale,mov_w_cap
1,Jarry N.,HARD,9.591034576726255,0.32780344381842386,0.35,3
1,Carreno Busta P.,HARD,5.856289949590552,1.121834230794485,0.35,3
1,Fritz T.,HARD,10.679393048511285,0.2663619325305806,0.35,3
1,Rune H.,HARD,8.85033848575232,0.2564270913672127,0.35,3
1,Murray A.,HARD,8.757212930847487,0.3087596923495381,0.35,3
1,Zverev A.,HARD,10.283614589603786,0.2272943053398833,0.35,3
1,De Minaur A.,HARD,10.096817896536463,0.23525993466330866,0.35,3
1,Ruud C.,HARD,8.690695980938656,0.31832016124081347,0.35,3
1,Ruusuvuori E.,HARD,8.553482098596783,0.31001300672571663,0.35,3
1,Humbert U.,HARD,9.83595330471796,0.26432803864246884,0.35,3
1,Kudla D.,HARD,7.1835170256792935,0.6861643460018978,0.35,3
1,Mannarino A.,HARD,9.383853512728496,0.2381577959831048,0.35,3
1,Holt B.,HARD,-3.478947029152261,5.078159265736911,0.35,3
1,Couacaud E.,HARD,-1.5403683631290699,2.593515002084166,0.35,3
1,Cressy M.,HARD,8.246361100134653,0.38838000988892735,0.35,3
1,Zapata Miralles B.,CLAY,10.206246743547549,0.2961321941905745,0.35,3
1,Lajovic D.,CLAY,10.779451216227558,0.289490836287821,0.35,3
1,Cerundolo J.M.,CLAY,8.846915809358281,0.5290588454808545,0.35,3
1,Darderi L.,CLAY,9.700721657277624,1.053381983209233,0.35,3
1,Coria F.,CLAY,10.178573907624928,0.41971363297963243,0.35,3
1,Barrios M.,CLAY,9.825404152684067,0.6702738372119251,0.35,3
1,Garin C.,CLAY,10.139986353563033,0.3732251637320417,0.35,3
1,Delbonis F.,CLAY,3.6542045242308707,4.232520862862078,0.35,3
1,Pella G.,CLAY,8.596402243928338,0.500250768515023,0.35,3
1,Sousa J.,CLAY,8.51122410874588,0.6715122029100365,0.35,3
1,Cecchinato M.,CLAY,9.142094022277501,0.3246615382459886,0.35,3
1,Dellien H.,CLAY,9.469938768144324,0.38313629967972906,0.35,3
1,Baez S.,CLAY,11.069862858057244,0.2823556377426041,0.35,3
1,Ramos-Vinolas A.,CLAY,10.322804861601552,0.3090512561927686,0.35,3
1,Cerundolo F.,CLAY,11.713017448860578,0.26607188267064574,0.35,3
1,Sock J.,HARD,7.781110964149274,0.6867167948518527,0.35,3
1,Thompson J.,HARD,8.513628016446722,0.30605586382556943,0.35,3
1,Albot R.,HARD,7.1623276958190125,0.42518193558763984,0.35,3
1,Wu Y.,HARD,8.944846978968377,0.3929090832478288,0.35,3
1,Isner J.,HARD,7.9714245343059105,0.4277019426687182,0.35,3
1,Gomez E.,HARD,7.346337488283617,0.6522622482533651,0.35,3
1,Altmaier D.,HARD,7.01263368803585,0.4519660533507238,0.35,3
1,Otte O.,HARD,8.002485484615493,0.524060803676329,0.35,3
1,Fils A.,HARD,9.318894305132021,0.32690649920951276,0.35,3
