player,mu_generic,sigma_generic,ATP,mov_w_scale,mov_w_cap
Andujar P.,-3.338030761091006,2.078362766550008,20,0.35,3
Mukund S.,-5.6005704652286115,1.9384533965366935,20,0.35,3
Pannu K.,-3.344220486773668,2.089100277838515,20,0.35,3
Escobedo E.,-4.685557761273493,2.1729309854997383,20,0.35,3
Pospisil V.,-2.260138608620784,2.643690815482826,20,0.35,3
Bellucci M.,-2.601417830478533,2.528388443426227,20,0.35,3
Krutykh O.,-3.247536863696849,2.114254322093863,20,0.35,3
Tseng C. H.,-2.597716139522882,2.419134538574476,20,0.35,3
Lokoli L.,1.0801047179384755,0.9542648346238569,20,0.35,3
Rybakov A.,-2.3979907740476323,2.5581368299112723,20,0.35,3
Verdasco F.,-4.007805363582802,1.9096235240835566,20,0.35,3
Krall L.,-2.716542737958486,2.549960287566411,20,0.35,3
Chidekh C.,0,4,20,0.35,3
Bellier A.,-3.1587104089610585,2.3060167906499465,20,0.35,3
Blancaneaux G.,-2.9530413567274634,2.307507573691652,20,0.35,3
Alves M.,-1.1679016271910276,3.1200391485496906,20,0.35,3
Bellucci T.,-2.322823028816617,2.5701295312672907,20,0.35,3
Chappell N.,-2.7760159858486286,2.47383398599246,20,0.35,3
Pacheco Mendez R.,-2.9757368491213962,2.1780501441825755,20,0.35,3
Jaziri M.,-2.4053116000619554,2.503464513097217,20,0.35,3
Lazarov A.,-2.7416736234056818,2.3200855000905,20,0.35,3
Taberner C.,-2.7209901574272113,2.4684452539949233,20,0.35,3
Giannessi A.,-2.887726062854721,2.357173526149752,20,0.35,3
Rocha H.,-3.0228983090633177,2.359177825158141,20,0.35,3
Sousa P.,-3.297718113215619,2.2678439479698,20,0.35,3
Benchetrit E.,-2.5972647052548066,2.5285016939786416,20,0.35,3
Lalami Laaroussi Y.,-2.4061346053582904,2.5408163653711817,20,0.35,3
Moundir A.,-3.083656831188107,2.4199616998413798,20,0.35,3
Vatutin A.,-2.749695350182859,2.442726446330217,20,0.35,3
Vacherot V.,-2.806651161123783,2.476186255918983,20,0.35,3
Balazs A.,-3.123506641426485,2.264192509621709,20,0.35,3
Trungelliti M.,-1.947513553955933,2.7443369807964735,20,0.35,3
Giustino L.,-2.7117018273704083,2.423286503794693,20,0.35,3
Rincon D.,-3.054075471305567,2.2257303214063606,20,0.35,3
Rehberg M.,-2.0199049133268447,2.779290034730554,20,0.35,3
Topo M.,-2.649147604079585,2.474899655556991,20,0.35,3
