"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Davidovich Fokina A.","Marozsan F.",1.53,2.5,55.47,44.53,"Davidovich Fokina A.",TRUE,"Davidovich Fokina A.",TRUE,FALSE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Humbert U.","Monfils G.",1.53,2.5,36.2,63.8,"Monfils G.",FALSE,"Humbert U.",TRUE,TRUE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Cazaux A.","Musetti L.",1.44,2.75,1.57,98.43,"Musetti L.",FALSE,"Cazaux A.",TRUE,TRUE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","O Connell C.","Marterer M.",1.67,2.2,35.05,64.95,"Marterer M.",FALSE,"O Connell C.",TRUE,TRUE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Khachanov K.","Van Assche L.",1.2,4.5,99.98,0.02,"Khachanov K.",TRUE,"Khachanov K.",TRUE,FALSE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Mensik J.","Coric B.",2.1,1.73,78.07,21.93,"Mensik J.",TRUE,"Coric B.",FALSE,FALSE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Medvedev D.","Shevchenko A.",1.1,7,100,0,"Medvedev D.",TRUE,"Medvedev D.",TRUE,FALSE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Sonego L.","Nagal S.",1.53,2.5,95.77,4.23,"Sonego L.",TRUE,"Sonego L.",TRUE,FALSE,17
2024-04-15,25,"Barcelona Open","1st Round","Clay","Outdoor","Nakashima B.","Evans D.",1.5,2.63,40.85,59.15,"Evans D.",FALSE,"Nakashima B.",TRUE,TRUE,25
2024-04-15,25,"Barcelona Open","1st Round","Clay","Outdoor","Bautista Agut R.","Safiullin R.",1.67,2.2,34.41,65.59,"Safiullin R.",FALSE,"Bautista Agut R.",TRUE,TRUE,25
2024-04-15,25,"Barcelona Open","1st Round","Clay","Outdoor","Arnaldi M.","Cazaux A.",1.33,3.4,90.55,9.45,"Arnaldi M.",TRUE,"Arnaldi M.",TRUE,FALSE,25
2024-04-15,25,"Barcelona Open","1st Round","Clay","Outdoor","Ofner S.","Kotov P.",2,1.8,46.03,53.97,"Kotov P.",FALSE,"Kotov P.",FALSE,FALSE,25
2024-04-16,25,"Barcelona Open","1st Round","Clay","Outdoor","Van Assche L.","Zhang Zh.",1.91,1.91,3.17,96.83,"Zhang Zh.",FALSE,NA,FALSE,FALSE,25
2024-04-16,25,"Barcelona Open","1st Round","Clay","Outdoor","Munar J.","Nishioka Y.",1.25,4,17.17,82.83,"Nishioka Y.",FALSE,"Munar J.",TRUE,TRUE,25
2024-04-16,25,"Barcelona Open","1st Round","Clay","Outdoor","Altmaier D.","Popyrin A.",2.5,1.53,7.73,92.27,"Popyrin A.",FALSE,"Popyrin A.",FALSE,FALSE,25
2024-06-17,35,"Halle Open","1st Round","Grass","Outdoor","Koepfer D.","Auger-Aliassime F.",3.2,1.36,15.84,84.16,"Auger-Aliassime F.",FALSE,"Auger-Aliassime F.",FALSE,FALSE,35
2024-06-17,35,"Halle Open","1st Round","Grass","Outdoor","Sonego L.","Kecmanovic M.",2,1.8,91.43,8.57,"Sonego L.",TRUE,"Kecmanovic M.",FALSE,FALSE,35
2024-06-17,35,"Halle Open","1st Round","Grass","Outdoor","Zhang Zh.","Ofner S.",1.91,1.91,49.4,50.6,"Ofner S.",FALSE,NA,FALSE,FALSE,35
2024-06-17,35,"Halle Open","1st Round","Grass","Outdoor","Marozsan F.","Safiullin R.",2.5,1.53,64.99,35.01,"Marozsan F.",TRUE,"Safiullin R.",FALSE,FALSE,35
2024-06-17,35,"Halle Open","1st Round","Grass","Outdoor","Medvedev D.","Borges N.",1.08,8,100,0,"Medvedev D.",TRUE,"Medvedev D.",TRUE,FALSE,35
